disease,feature,n_cohorts,per_cohort_robust,n_fdr_raw,median_smd,meta_k,meta_est,meta_ci_lo,meta_ci_hi,meta_p,meta_fdr,meta_I2,meta_measures,dl_fdr,adhoc_fdr,joint_n,joint_n_fdr,joint_median_d_adj,joint_robust,xcell_resid_robust,sc_hits,sc_cells,sc_families,sc_median_pairs,tcga_hr,tcga_fdr,crc_ext_hr,crc_ext_p,crc_ext_model
CRC,TGFB_SMAD,3,TRUE,2,-0.437940148074081,3,-0.537714021163978,-0.736827241267764,-0.338600801060192,0.00732541609471087,0.0232608663185879,0,SMCRPH 1|SMDH 2,5.15058425186124e-08,0.0669910312120608,3,1,0.129426670539488,FALSE,FALSE,0,,,,1.12142032509964,0.452876700116284,1.14690799676962,0.0572130197854702,age+stage
CRC,TIE_ANGPT_AXIS,3,FALSE,0,-0.221915535544863,3,-0.221747977368823,-0.271877826355505,-0.171618128382141,0.00274920448306422,0.0232608663185879,0,SMCRPH 1|SMDH 2,0.0314109304903632,0.21170099671872,3,0,0.233425203420937,FALSE,FALSE,0,,,,1.01519275301465,0.938599045499954,1.12930504991922,0.0907924152389223,age+stage
CRC,VEGF_PDGF_AXIS,3,TRUE,2,0.646035018723919,3,0.85777327015504,0.0680986663950426,1.64744787391504,0.042858669219708,0.0607164480612529,69.2515198687504,SMCRPH 1|SMDH 2,2.78065304788788e-05,0.0788365876605408,3,3,1.08832868216541,TRUE,TRUE,7,colonocyte; early colonocyte; intestinal crypt stem cell of colon; malignant cell,cell-identity;same-cell-type,14,1.30306004397929,0.0378954108079467,1.09185638154325,0.216885014590004,age+stage
CRC,WNT_CTNNB1,3,TRUE,2,2.59042072981352,3,2.99919080518515,1.95031851587374,4.04806309449655,0.00654163948297653,0.0232608663185879,62.0582232685668,SMCRPH 1|SMDH 2,9.51083947514977e-37,0.0441654762898769,3,3,1.65217120806222,TRUE,TRUE,6,colon goblet cell; early colonocyte; malignant cell; malignant cell vs BEST4+ colonocyte,cell-identity;same-cell-type,14,0.800817805883276,0.0848005434485004,0.961515597788766,0.619197945316226,age+stage
ESCC,EPH_RECEPTORS,2,FALSE,0,-0.33516892827644,2,-0.388996239834087,-3.755509940946,2.97751746127783,0.380658710399866,0.556341190807378,39.8717613144211,SMCRPH 2,0.241491632143275,0.556341190807378,2,1,-1.26391442771291,FALSE,FALSE,0,,,,0.66120204202871,0.0848005434485004,,,
ESCC,ERBB_LIGANDS,2,FALSE,1,-0.365634641662606,2,-0.502518197896739,-0.709240071255902,-0.295796324537577,0.0206037959941235,0.350264531900099,0,SMCRPH 2,0.00695498091153443,0.500250642900913,2,1,-0.692779625637174,FALSE,FALSE,0,,,,0.753411468047904,0.307923074094124,,,
ESCC,ERBB_RECEPTORS,2,FALSE,1,-0.647152270869051,2,-0.923873043282416,-3.68113872110612,1.83339263454128,0.146868505716177,0.399358533729142,27.0873594941224,SMCRPH 2,0.000117170872367107,0.465918289350665,2,1,-0.830663394679579,FALSE,FALSE,0,,,,0.682691352197323,0.0921588207877057,,,
ESCC,FGFR_AXIS,2,FALSE,1,-0.201006711774425,2,-0.338543918548958,-9.10839655439617,8.43130871729826,0.709689692552471,0.74228256929028,91.5940605672607,SMCRPH 2,0.662766763052119,0.74228256929028,2,1,-0.830587505081085,FALSE,FALSE,0,,,,0.850925070157897,0.620886965741724,,,
ESCC,HGF_MET_AXIS,2,FALSE,1,0.475783138583543,2,0.768043668852381,-1.81033004192702,3.34641737963179,0.164441749182588,0.399358533729142,15.7875814582176,SMCRPH 2,0.000435660069450213,0.465918289350665,2,1,0.514452912485012,FALSE,FALSE,0,,,,1.08673295666425,0.879880352415772,,,
ESCC,IGF_INSR_AXIS,2,TRUE,2,0.670345009906601,2,0.897992716188283,-3.83053355463873,5.6265189870153,0.250110320492595,0.520891464313671,59.2451924839728,SMCRPH 2,0.0336185299590502,0.531484431046765,2,1,0.962878838409515,FALSE,FALSE,0,,,,0.896246042187718,0.780621221890912,,,
ESCC,JAK_STAT,2,FALSE,0,-0.156702045644944,2,-0.135487811829347,-4.15318372691291,3.88220810325421,0.74228256929028,0.74228256929028,66.6838221729973,SMCRPH 2,0.668295616654907,0.74228256929028,2,1,0.089074386753139,FALSE,FALSE,0,,,,1.01439803434755,0.981604145326129,,,
ESCC,PDGFR_KIT_CSF1R,2,FALSE,0,-0.258032862151108,2,-0.239326856235967,-1.64565700576514,1.16700329329321,0.275766069342532,0.520891464313671,0,SMCRPH 2,0.192353037732185,0.556341190807378,2,0,-0.0867837873019485,FALSE,FALSE,0,,,,0.982572049960267,0.981604145326129,,,
ESCC,PI3K_AKT,2,FALSE,1,0.238328026624357,2,0.370094673460518,-4.3954746386529,5.13566398557394,0.504240718320494,0.57147281409656,77.9193935328611,SMCRPH 2,0.366925373631886,0.571472814096561,2,1,0.269302963254451,FALSE,FALSE,0,,,,0.864300134494357,0.625307847406105,,,
ESCC,RAS_MAPK,2,FALSE,1,-0.520585130475861,2,-0.489148841273993,-5.9368197260205,4.95852204347251,0.458163333606076,0.556341190807378,84.4405936589294,SMCRPH 2,0.308323232002895,0.556341190807378,2,0,-0.2914520083104,FALSE,FALSE,0,,,,0.733599529569079,0.199149431273392,,,
