"accession","disease","sample","epic_cancer","epic_caf","epic_endo","epic_immune"
"GSE75214","IBD","GSM1426113",0.650423463941948,0.0124735054016377,0.0816484592563518,0.255454571400062
"GSE75214","IBD","GSM1426114",0.502683575143854,0.0238543261382165,0.115015036053918,0.358447062664011
"GSE75214","IBD","GSM1426115",0.542718160670062,0.0231906981104733,0.0962513811394367,0.337839760080028
"GSE75214","IBD","GSM1426116",0.572946492692642,0.0206390184572473,0.101271439551951,0.30514304929816
"GSE75214","IBD","GSM1426117",0.728468827125222,0.0117166722632866,0.0758045119556137,0.184009988655877
"GSE75214","IBD","GSM1426118",0.569957596528122,0.0115386695073025,0.0867923640739359,0.33171136989064
"GSE75214","IBD","GSM1426119",0.60614784367397,0.0244564675725738,0.0974671203889391,0.271928568364517
"GSE75214","IBD","GSM1426120",0.648864190243315,0.0138472997506706,0.0789280291106625,0.258360480895351
"GSE75214","IBD","GSM1426121",0.64911286008419,0.0164537522686194,0.130808288403425,0.203625099243765
"GSE75214","IBD","GSM1426122",0.696028193737116,0.0117142042631767,0.0990348810879881,0.193222720911719
"GSE75214","IBD","GSM1426123",0.651024622823764,0.0204130465623941,0.128825613501932,0.19973671711191
"GSE75214","IBD","GSM1426124",0.624967359635014,0.0187593694056038,0.0900707446248152,0.266202526334567
"GSE75214","IBD","GSM1426125",0.638126364647648,0.0353261066489084,0.133409745579004,0.19313778312444
"GSE75214","IBD","GSM1426126",0.370178747660733,0.0589059614527535,0.232512153277384,0.338403137609129
"GSE75214","IBD","GSM1426127",0.669967372231972,0.0140927085861625,0.110826729317326,0.20511318986454
"GSE75214","IBD","GSM1426128",0.588238357062266,0.0414310476968867,0.128324070896747,0.2420065243441
"GSE75214","IBD","GSM1426129",0.608962357603748,0.0224587073885458,0.171187746865289,0.197391188142417
"GSE75214","IBD","GSM1426130",0.757489738072943,0.0133099809786295,0.0855378347377662,0.143662446210662
"GSE75214","IBD","GSM1426131",0.433633347641098,0.0218537736261846,0.141209181392806,0.403303697339911
"GSE75214","IBD","GSM1426132",0.416402532394782,0.0603050000279692,0.172667708562434,0.350624759014815
"GSE75214","IBD","GSM1426133",0.694357265826428,0.0157577444351033,0.103004148852336,0.186880840886133
"GSE75214","IBD","GSM1426134",0.685194553329911,0.010438034994557,0.0774362785670941,0.226931133108438
"GSE75214","IBD","GSM1426135",0.701981914952308,0.0114660425338441,0.0847482645657569,0.201803777948091
"GSE75214","IBD","GSM1426136",0.716025276683515,0.0177242513890721,0.106294226463984,0.159956245463428
"GSE75214","IBD","GSM1426137",0.695157725428426,0.0133321908669005,0.10004191807797,0.191468165626704
"GSE75214","IBD","GSM1426138",0.585864381288288,0.0640572781410721,0.109394444558728,0.240683896011912
"GSE75214","IBD","GSM1426139",0.480346562725556,0.0244106516520267,0.173722512974888,0.32152027264753
"GSE75214","IBD","GSM1426140",0.568993047600745,0.0240120242336693,0.120285056012094,0.286709872153492
"GSE75214","IBD","GSM1426141",0.717813872973006,0.0106834534438843,0.106365016719976,0.165137656863134
"GSE75214","IBD","GSM1426142",0.433850255518674,0.0758707442073907,0.136121117280435,0.354157882993499
"GSE75214","IBD","GSM1426143",0.759109587230573,0.00875012370590677,0.0892663676559718,0.142873921407549
"GSE75214","IBD","GSM1426144",0.677343836520278,0.0101509818913261,0.0858999114459924,0.226605270142404
"GSE75214","IBD","GSM1426145",0.658422262276828,0.0177057043754189,0.10650306099515,0.217368972352603
"GSE75214","IBD","GSM1426146",0.554336186759101,0.0223377167280701,0.183677285195946,0.239648811316883
"GSE75214","IBD","GSM1426147",0.688107188075547,0.0178899368977108,0.108846094215375,0.185156780811368
"GSE75214","IBD","GSM1426148",0.740445346500899,0.0176861495721084,0.0905656037641009,0.151302900162892
