"disease","feature","k","est_REML","se_REML","p_REML_KHNA","ci_lo","ci_hi","I2","tau2","est_DL","p_DL","cohorts","n_case","n_control","fdr"
"NAFLD","PDGFR_KIT_CSF1R",2,0.114701484639388,0.174157292468451,0.629230638153786,-2.09817672976261,2.32757969904139,0,0,0.114701484639388,0.564288967102703,"GSE33814;GSE66676",62,47,0.930197205970223
"PAAD","PDGFR_KIT_CSF1R",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","PDGFR_KIT_CSF1R",3,-0.00196497361081216,0.0272982943927242,0.949167159128074,-0.119420054497171,0.115490107275547,0,0,-0.0163695170084517,0.662360312626895,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","PI3K_AKT",3,0.306724584829647,0.0401786289043651,0.0167296559451058,0.13384989749669,0.479599272162604,0,0,0.306724584829647,0.0196591532349428,"GSE4302;GSE43696;GSE67472",192,91,0.196479946279391
"COPD","PI3K_AKT",2,0.0819525461900532,0.0223009161221786,0.169141348669735,-0.201407459862608,0.365312552242714,0,0,0.0819525461900532,0.449244285117082,"GSE76925;GSE47460",256,131,0.414562771060886
"CRC","PI3K_AKT",3,0.000246691927291557,0.00962565082751412,0.981880820206615,-0.0411691408813273,0.0416625247359104,0,0,0.000246691927291557,0.986215190000933,"GSE44076;GSE41258;GSE23878",315,175,0.981880820206615
"ESCC","PI3K_AKT",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","PI3K_AKT",2,0.638761595587766,0.712535676359272,0.534721789351473,-8.41486259006187,9.6923857812374,89.0593839180561,0.915167910527038,0.638761595587766,0.370005738570064,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","PI3K_AKT",3,0.223313429618806,0.190476901480721,0.361783914732031,-0.59624253049144,1.04286938972905,41.6760562928461,0.045513109642981,0.223323373908999,0.241462029158273,"GSE75214;GSE87473;GSE179285",202,75,0.473102042341886
"LUAD","PI3K_AKT",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","PI3K_AKT",2,-0.278399659141027,0.0662293807163187,0.14868379291838,-1.11992373007263,0.56312441179058,0,0,-0.278399659141027,0.162724465610974,"GSE33814;GSE66676",62,47,0.792980228898025
"PAAD","PI3K_AKT",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","PI3K_AKT",3,0.00187777952804722,0.0260008172023637,0.948999192726782,-0.10999470758342,0.113750266639514,0,0,0.0141014991699087,0.691326770951012,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","RAS_MAPK",3,0.291885211703979,0.0690119928099065,0.0516121003443603,-0.00504942754501536,0.588819850952974,0,0,0.291885211703979,0.0264157381939321,"GSE4302;GSE43696;GSE67472",192,91,0.24001781869596
"COPD","RAS_MAPK",2,-0.239847132409178,0.106499033025835,0.266028879517112,-1.59304565024007,1.11335138542172,0,0,-0.239847132409178,0.0273515428368193,"GSE76925;GSE47460",256,131,0.498804149094585
"CRC","RAS_MAPK",3,-0.0680017390733778,0.102623757947021,0.575713676369629,-0.509556131341277,0.373552653194521,49.5695750076077,0.0180558475533541,-0.0675076197922893,0.518965400710451,"GSE44076;GSE41258;GSE23878",315,175,0.699080892734549
"ESCC","RAS_MAPK",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","RAS_MAPK",2,0.280037266175356,0.389715407820934,0.603335124732723,-4.67176649443925,5.23184102678996,67.9392479395121,0.229743413984448,0.280037266175357,0.472406748468105,"GSE57957;GSE62232",118,42,0.967554853911512
"IBD","RAS_MAPK",3,0.226165349769866,0.13756895402414,0.241897134484932,-0.365746085790879,0.818076785330611,0,0,0.226165349769866,0.118827642304451,"GSE75214;GSE87473;GSE179285",202,75,0.342687607186987
"LUAD","RAS_MAPK",3,0,0,NA,0,0,0,0,0,1,"GSE32863;GSE19804;GSE10072",150,150,NA
"NAFLD","RAS_MAPK",2,0.457452761884237,0.509481473429231,0.534222177965578,-6.01612314879552,6.931028672564,82.513430699612,0.42973157844961,0.457452761884237,0.369250013338265,"GSE33814;GSE66676",62,47,0.930197205970223
"PAAD","RAS_MAPK",3,0,0,NA,0,0,0,0,0,1,"GSE15471;GSE28735;GSE62452",123,123,NA
"STAD","RAS_MAPK",3,0.227028261151593,0.265703556186617,0.482874941489329,-0.916201870178893,1.37025839248208,99.5918761366987,0.17123855868631,0.0222142103800014,0.595867428579822,"GSE27342;GSE63089;GSE13911",163,156,0.949167159128074
"Asthma","RET_ALK_NTRK",3,0.0623200340470399,0.238066396617197,0.817988416219519,-0.961996997219563,1.08663706531364,68.2929113286757,0.114205173182467,0.0620604249262022,0.791144737846197,"GSE4302;GSE43696;GSE67472",192,91,0.817988416219519
"COPD","RET_ALK_NTRK",2,0.692384763491104,0.0850283881432583,0.0777906664089242,-0.388003344644067,1.77277287162627,0,0,0.692384763491104,4.78934076331736e-10,"GSE76925;GSE47460",256,131,0.388953332044621
"CRC","RET_ALK_NTRK",3,-0.590531117772163,0.333336474794536,0.218475762797187,-2.02476221097194,0.843699975427613,94.1642025914464,0.322367368063366,-0.59813382244818,0.154662889092902,"GSE44076;GSE41258;GSE23878",315,175,0.451122820007588
"ESCC","RET_ALK_NTRK",2,0,0,NA,0,0,0,0,0,1,"GSE23400;GSE20347",70,70,NA
"HCC","RET_ALK_NTRK",2,-0.604673572845541,0.681037860567268,0.537767393403553,-9.25808006229965,8.04873291660857,88.1037916509046,0.828887141668278,-0.60467357284554,0.374610298537349,"GSE57957;GSE62232",118,42,0.967554853911512
