"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","effect_scale","yi","vi","mean_case","sd_case","mean_ctrl","sd_ctrl","beta_adj","se_beta_adj","p_adj","d_adj","se_d_adj","beta_unadj","d_unadj_same_den","sigma_full","joint_fallback","rank_full"
"GSE67472","Asthma","validation","RAS_MAPK",62,43,FALSE,NA,NA,"SMD",0.276786653683606,0.0397496597908737,0.0243217677865545,0.318788059626366,-0.0588868268014161,0.266098411259872,0.0351986896727603,0.0623020756268924,0.573373432044741,0.118987667216977,0.210609505937277,0.0832085945879707,0.281283100435635,0.29581796581132,FALSE,TRUE
"GSE67472","Asthma","validation","RET_ALK_NTRK",62,43,FALSE,NA,NA,"SMD",-0.215942024106412,0.0396068983914347,-0.0462047665619211,0.411684444183418,0.045553756613904,0.436119375360383,-0.108789051078298,0.0864048247220315,0.210968514244127,-0.265170473670823,0.210609505937277,-0.0917585231758251,-0.223659006239117,0.410260801560231,FALSE,TRUE
"GSE67472","Asthma","validation","SRC_FAK",62,43,FALSE,NA,NA,"SMD",0.34387515762599,0.0399479420402781,0.0491265218122511,0.382860492411681,-0.0782407702163636,0.34445189367389,0.0955897979237601,0.0766687817657572,0.215416643021372,0.262585626766264,0.210609505937277,0.127367292028615,0.349878553290073,0.364032864635229,FALSE,TRUE
"GSE67472","Asthma","validation","TAM_AXL_AXIS",62,43,FALSE,NA,NA,"SMD",0.0466242540131471,0.0393951977404209,0.00165796617234888,0.439688685048612,-0.0195786957923359,0.469681918295302,-0.0225626253894746,0.0901061179570852,0.802796483700033,-0.0527367452250944,0.210609505937277,0.0212366619646849,0.0496375050389966,0.427834999925979,FALSE,TRUE
"GSE67472","Asthma","validation","TGFB_SMAD",62,43,FALSE,NA,NA,"SMD",0.0536849387965401,0.0393985703670462,0.0247276103066869,0.387959632931514,0.00299124173474834,0.42139875667343,0.0416315694309027,0.0846210607507937,0.623825136328046,0.103614917981912,0.210609505937277,0.0217363685719385,0.0540986582440539,0.401791269459581,FALSE,TRUE
"GSE67472","Asthma","validation","TIE_ANGPT_AXIS",62,43,FALSE,NA,NA,"SMD",-0.596645891640419,0.0410800191639881,-0.109189988382286,0.516747812531534,0.183907404521603,0.44200295330123,-0.180467714473432,0.097187546598575,0.0662983265297077,-0.391081136556197,0.210609505937277,-0.293097392903889,-0.635154392423948,0.461458499539518,FALSE,TRUE
"GSE67472","Asthma","validation","VEGF_PDGF_AXIS",62,43,FALSE,NA,NA,"SMD",-0.360883279763904,0.0400050211716155,-0.0512239576665997,0.296514084116261,0.0558703645092228,0.291770765314788,-0.120498212755819,0.0602505276941787,0.0482448756616836,-0.421209075273873,0.210609505937277,-0.107094322175823,-0.374354933397816,0.286076962319651,FALSE,TRUE
"GSE67472","Asthma","validation","WNT_CTNNB1",62,43,FALSE,NA,NA,"SMD",-0.543954862521261,0.0407938314137459,-0.104305713096184,0.445369629345628,0.147858461943392,0.480903086596455,-0.146570483332357,0.0897409141468665,0.105590279053112,-0.343980639968703,0.210609505937277,-0.252164175039577,-0.591794420917659,0.426100967036089,FALSE,TRUE
"GSE27342","STAD","discovery","EPH_RECEPTORS",80,80,TRUE,80,0.99,"SMCRH",0,0.00025316455696203,-0.0307228533587183,0.508914922772194,-0.0307228533587183,0.508914922772194,0.454510659493394,0.0623324978898067,2.62615287080129e-10,1.21888225306566,0.167159941973247,0.534672340155143,1.43385553893629,0.37289135874301,FALSE,TRUE
"GSE27342","STAD","discovery","ERBB_LIGANDS",80,80,TRUE,80,0.99,"SMCRH",0,0.000253164556962028,0.0641190138179233,0.408542830789366,0.0641190138179233,0.408542830789366,0.0111554528222991,0.0658192716198418,0.8658706047654,0.0283312896142513,0.167159941973247,0.06597170381765,0.167547071102959,0.393750266019929,FALSE,TRUE
