"feature","estimate","ci_low","ci_high","p_value","fdr","smd","accession","disease","role"
"PI3K_AKT",NA,NA,NA,NA,NA,0.103036096195405,"GSE75214","IBD","discovery"
"RAS_MAPK",NA,NA,NA,NA,NA,0.484808797369852,"GSE75214","IBD","discovery"
"SRC_FAK",NA,NA,NA,NA,NA,0.442038701768916,"GSE75214","IBD","discovery"
"TAM_AXL_AXIS",NA,NA,NA,NA,NA,0.583532190363733,"GSE75214","IBD","discovery"
"TGFB_SMAD",NA,NA,NA,NA,NA,0.933028350307032,"GSE75214","IBD","discovery"
"TIE_ANGPT_AXIS",NA,NA,NA,NA,NA,1.06446884286535,"GSE75214","IBD","discovery"
"VEGF_PDGF_AXIS",NA,NA,NA,NA,NA,1.31504804408233,"GSE75214","IBD","discovery"
"WNT_CTNNB1",NA,NA,NA,NA,NA,-0.352752714337921,"GSE75214","IBD","discovery"
"EPH_RECEPTORS",0.208757033645224,-0.00396297405778445,0.421477041348232,0.0543643946161817,0.0660139077482206,0.452564130718272,"GSE87473","IBD","validation"
"ERBB_LIGANDS",0.481907226000571,0.290608902288896,0.673205549712246,1.80259084434235e-06,4.37772062197428e-06,1.17247176735466,"GSE87473","IBD","validation"
"ERBB_RECEPTORS",-0.599869513547706,-0.813080315285193,-0.386658711810218,1.26763590334417e-07,4.30996207137016e-07,-1.31220491894465,"GSE87473","IBD","validation"
"FGFR_AXIS",-0.0548752415238462,-0.20482337493829,0.0950728918905977,0.470678889469273,0.500096320061102,-0.182371096881846,"GSE87473","IBD","validation"
"HGF_MET_AXIS",0.585882681086315,0.390102026614104,0.781663335558525,2.31833253144313e-08,9.85291325863329e-08,1.39293035037872,"GSE87473","IBD","validation"
"IGF_INSR_AXIS",-0.229679064602871,-0.45399306646533,-0.00536506274041193,0.0448352500040687,0.0635166041724307,-0.477022038247529,"GSE87473","IBD","validation"
"JAK_STAT",0.772930839994185,0.584837520909461,0.96102415907891,1.89408450033526e-13,3.21994365056995e-12,1.90121920225641,"GSE87473","IBD","validation"
"PDGFR_KIT_CSF1R",0.693620805492247,0.497890694241201,0.889350916743293,8.81477639252745e-11,7.49255993364833e-10,1.63885527969242,"GSE87473","IBD","validation"
"PI3K_AKT",0.158230115781867,0.0191601302363434,0.297300101327391,0.0260324795767368,0.0402320138913205,0.579935245604522,"GSE87473","IBD","validation"
"RAS_MAPK",0.0260191609440962,-0.123759767816968,0.17579808970516,0.731851422524839,0.731851422524839,0.0841968675104843,"GSE87473","IBD","validation"
"RET_ALK_NTRK",-0.195279385075703,-0.407541095004173,0.0169823248527666,0.071074987950143,0.0805516530101621,-0.42754962454761,"GSE87473","IBD","validation"
"SRC_FAK",0.168123114743385,-0.00184485343670182,0.338091082923471,0.0525051834721747,0.0660139077482206,0.459108946103926,"GSE87473","IBD","validation"
"TAM_AXL_AXIS",0.407655194204938,0.170575205666107,0.644735182743768,0.000876248128895572,0.00165513535458052,0.80094815809744,"GSE87473","IBD","validation"
"TGFB_SMAD",0.520872119592796,0.357765328520516,0.683978910665076,3.2175817137361e-09,1.82329630445045e-08,1.4948038092331,"GSE87473","IBD","validation"
"TIE_ANGPT_AXIS",0.63729457677549,0.40224092182823,0.872348231722749,3.25247015083413e-07,9.21533209403004e-07,1.25986342591351,"GSE87473","IBD","validation"
"VEGF_PDGF_AXIS",0.42366540489947,0.25049470927046,0.59683610052848,3.3722426600834e-06,7.16601565267723e-06,1.14228811919805,"GSE87473","IBD","validation"
"WNT_CTNNB1",0.357787100673593,0.142686192833116,0.57288800851407,0.00126953713015734,0.00215821312126748,0.77263648673487,"GSE87473","IBD","validation"
"EPH_RECEPTORS",0.00388468634185524,-0.227095996930663,0.234865369614373,0.97361178437862,0.98197234446635,0.208422214130411,"GSE179285","IBD","validation"
