"state","accession","variant","n_genes","yi","vi"
"IBD HGF_MET_AXIS","GSE87473","full",3,1.39292753108723,0.0646917780204457
"IBD HGF_MET_AXIS","GSE87473","minus_overlap",3,1.39292753108723,0.0646917780204457
"IBD HGF_MET_AXIS","GSE179285","full",3,1.22710977477689,0.0919182552475896
"IBD HGF_MET_AXIS","GSE179285","minus_overlap",3,1.22710977477689,0.0919182552475896
"IBD VEGF_PDGF_AXIS","GSE75214","full",9,1.31504341869549,0.0659058939349051
"IBD VEGF_PDGF_AXIS","GSE75214","minus_overlap",9,1.31504341869549,0.0659058939349051
"IBD VEGF_PDGF_AXIS","GSE75214","drop_KDR",8,1.14177912144279,0.0637116690334018
"IBD VEGF_PDGF_AXIS","GSE75214","drop_FLT1",8,1.14807250608264,0.0637859521110317
"IBD VEGF_PDGF_AXIS","GSE75214","drop_VEGFA",8,1.07697513982111,0.0629705138253091
"IBD VEGF_PDGF_AXIS","GSE87473","full",9,1.14228580720652,0.0621900841562122
"IBD VEGF_PDGF_AXIS","GSE87473","minus_overlap",9,1.14228580720652,0.0621900841562122
"IBD VEGF_PDGF_AXIS","GSE87473","drop_KDR",8,0.979254610193779,0.0608283626059772
"IBD VEGF_PDGF_AXIS","GSE87473","drop_VEGFC",8,0.875358382347618,0.0600697512121208
"IBD VEGF_PDGF_AXIS","GSE87473","drop_PDGFA",8,1.34829969913024,0.0642101440512092
"IBD VEGF_PDGF_AXIS","GSE179285","full",9,1.51298160058874,0.0993080186850149
"IBD VEGF_PDGF_AXIS","GSE179285","minus_overlap",9,1.51298160058874,0.0993080186850149
"IBD VEGF_PDGF_AXIS","GSE179285","drop_VEGFC",8,1.36483938707688,0.0952860680132821
"IBD VEGF_PDGF_AXIS","GSE179285","drop_PDGFB",8,1.45078315763264,0.0975689474279437
"IBD VEGF_PDGF_AXIS","GSE179285","drop_FLT4",8,1.28187646312073,0.0932145653169284
"IBD TIE_ANGPT_AXIS","GSE75214","full",3,1.0644650988347,0.0628324235925486
"IBD TIE_ANGPT_AXIS","GSE75214","minus_overlap",3,1.0644650988347,0.0628324235925486
"IBD TIE_ANGPT_AXIS","GSE87473","full",3,1.25986087594952,0.0633020233743335
"IBD TIE_ANGPT_AXIS","GSE87473","minus_overlap",3,1.25986087594952,0.0633020233743335
"IBD TIE_ANGPT_AXIS","GSE179285","full",3,1.08248339717794,0.0887670468118622
"IBD TIE_ANGPT_AXIS","GSE179285","minus_overlap",3,1.08248339717794,0.0887670468118622
"IBD ERBB_RECEPTORS","GSE75214","full",4,-1.30727074881122,0.0658008301083233
"IBD ERBB_RECEPTORS","GSE75214","minus_overlap",4,-1.30727074881122,0.0658008301083233
"IBD ERBB_RECEPTORS","GSE75214","drop_ERBB2",3,-1.023143174827,0.0623877638480018
"IBD ERBB_RECEPTORS","GSE75214","drop_ERBB3",3,-1.18037435383235,0.0641736486881568
"IBD ERBB_RECEPTORS","GSE75214","drop_EGFR",3,-1.35615677867871,0.066471986797286
"IBD ERBB_RECEPTORS","GSE87473","full",4,-1.31220226304145,0.0638320444467069
"IBD ERBB_RECEPTORS","GSE87473","minus_overlap",4,-1.31220226304145,0.0638320444467069
"IBD ERBB_RECEPTORS","GSE87473","drop_ERBB3",3,-1.08571083848575,0.0616938288784955
"IBD ERBB_RECEPTORS","GSE87473","drop_ERBB4",3,-0.97093224940316,0.0607644643435571
"IBD ERBB_RECEPTORS","GSE87473","drop_ERBB2",3,-1.45399195685149,0.0653762091374853
"IBD ERBB_RECEPTORS","GSE179285","full",4,-1.19399351021622,0.0911618599936788
"IBD ERBB_RECEPTORS","GSE179285","minus_overlap",4,-1.19399351021622,0.0911618599936788
"IBD ERBB_RECEPTORS","GSE179285","drop_ERBB3",3,-1.03841412185749,0.0878852881638165
"IBD ERBB_RECEPTORS","GSE179285","drop_EGFR",3,-1.24923520803204,0.0924351439799844
"IBD ERBB_RECEPTORS","GSE179285","drop_ERBB2",3,-1.32518793719284,0.0942798087337066
"IBD SRC_FAK","GSE75214","full",5,0.442037146996826,0.0579989745857854
"IBD SRC_FAK","GSE75214","minus_overlap",5,0.442037146996826,0.0579989745857854
"IBD SRC_FAK","GSE75214","drop_FYN",4,-0.155385140198066,0.0571162307840807
"IBD SRC_FAK","GSE75214","drop_PTK2",4,1.11048595973081,0.0633483675107037
"IBD SRC_FAK","GSE75214","drop_PTK2B",4,0.0670849858472385,0.0570149722971309
"IBD SRC_FAK","GSE87473","full",5,0.459108016867266,0.0578828530767096
"IBD SRC_FAK","GSE87473","minus_overlap",5,0.459108016867266,0.0578828530767096
"IBD SRC_FAK","GSE87473","drop_FYN",4,-0.0791834491155239,0.0570776949958514
"IBD SRC_FAK","GSE87473","drop_YES1",4,0.825785459986322,0.0597377406939262
"IBD SRC_FAK","GSE87473","drop_PTK2",4,0.798245248364692,0.0595616534916112
"IBD SRC_FAK","GSE179285","full",5,0.462224409786983,0.0797281892631549
"IBD SRC_FAK","GSE179285","minus_overlap",5,0.462224409786983,0.0797281892631549
"IBD SRC_FAK","GSE179285","drop_FYN",4,-0.0389279150925691,0.0777269060326882
"IBD SRC_FAK","GSE179285","drop_PTK2B",4,0.656124033189136,0.0817739189039611
"IBD SRC_FAK","GSE179285","drop_SRC",4,0.690578312395895,0.0822116515324817
"PAAD RAS_MAPK","GSE15471","full",12,1.04791161951651,0.0646888342263981
"PAAD RAS_MAPK","GSE15471","minus_overlap",12,1.04791161951651,0.0646888342263981
