"accession","disease","module","smd_full"
"GSE28735","PAAD","FGFR_AXIS",-0.528287968664425
"GSE28735","PAAD","HGF_MET_AXIS",1.23561925600387
"GSE28735","PAAD","IGF_INSR_AXIS",-0.753878122424215
"GSE28735","PAAD","JAK_STAT",0.383587623558861
"GSE28735","PAAD","PDGFR_KIT_CSF1R",-0.164227158603247
"GSE28735","PAAD","PI3K_AKT",0.325480451534749
"GSE28735","PAAD","RAS_MAPK",0.83716190025536
"GSE28735","PAAD","SRC_FAK",0.732345886303074
"GSE28735","PAAD","TAM_AXL_AXIS",-0.222716660962562
"GSE28735","PAAD","TGFB_SMAD",0.591244606109583
"GSE28735","PAAD","TIE_ANGPT_AXIS",0.0686486873259999
"GSE28735","PAAD","VEGF_PDGF_AXIS",-0.00469048922203933
"GSE28735","PAAD","WNT_CTNNB1",0.605525457165042
"GSE62452","PAAD","EPH_RECEPTORS",0.973268598081474
"GSE62452","PAAD","ERBB_LIGANDS",0.418230742082942
"GSE62452","PAAD","ERBB_RECEPTORS",0.291997484420577
"GSE62452","PAAD","FGFR_AXIS",-0.450358490649208
"GSE62452","PAAD","HGF_MET_AXIS",1.27078297016732
"GSE62452","PAAD","IGF_INSR_AXIS",-0.756311229915576
"GSE62452","PAAD","JAK_STAT",0.463686122587158
"GSE62452","PAAD","PDGFR_KIT_CSF1R",-0.0875860005143096
"GSE62452","PAAD","PI3K_AKT",0.283027402750144
"GSE62452","PAAD","RAS_MAPK",0.860621429087149
"GSE62452","PAAD","SRC_FAK",0.724885860439367
"GSE62452","PAAD","TAM_AXL_AXIS",-0.181328094702285
"GSE62452","PAAD","TGFB_SMAD",0.59641050640091
"GSE62452","PAAD","TIE_ANGPT_AXIS",0.131473965572172
"GSE62452","PAAD","VEGF_PDGF_AXIS",0.0216721483847677
"GSE62452","PAAD","WNT_CTNNB1",0.626187679486155
"GSE57957","HCC","EPH_RECEPTORS",-0.0641176054566689
"GSE57957","HCC","ERBB_LIGANDS",-0.345916555039736
"GSE57957","HCC","ERBB_RECEPTORS",-0.400265972940122
"GSE57957","HCC","FGFR_AXIS",-0.0969934183144766
"GSE57957","HCC","HGF_MET_AXIS",-0.267563660111794
"GSE57957","HCC","IGF_INSR_AXIS",-0.513986797162408
"GSE57957","HCC","JAK_STAT",0.208206486012258
"GSE57957","HCC","PDGFR_KIT_CSF1R",0.0203497592689522
"GSE57957","HCC","PI3K_AKT",0.121351233404355
"GSE57957","HCC","RAS_MAPK",0.692065702059483
"GSE57957","HCC","RET_ALK_NTRK",-0.448683707929908
"GSE57957","HCC","SRC_FAK",-0.322513442144154
"GSE57957","HCC","TAM_AXL_AXIS",-0.0467721854168147
"GSE57957","HCC","TGFB_SMAD",0.40881160095397
