"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","fdr"
"CRC","SRC_FAK",3,-0.508959187144005,0.13942850266285,0.0675338433343284,-1.1088716147312,0.090953240443185,51.5782624644708,0.0301027637243506,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.0883134874371986
"ESCC","SRC_FAK",2,1.362693887534,0.186430610487826,0.0865587929107541,-1.00613161841436,3.73151939348235,19.2386751805474,0.0177396115446525,"SMCRPH 2","GSE20347;GSE23400",0.483053765243802
"HCC","SRC_FAK",2,-0.924558303275616,0.356554770486014,0.234323018859914,-5.45501621673069,3.60589961017946,74.1099996339687,0.192152268556687,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.434646555131756
"IBD","SRC_FAK",3,0.46166010435746,0.007617215724009,0.000272126300209983,0.428885870329462,0.494434338385458,0,0,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.00455931134750191
"LUAD","SRC_FAK",3,-0.0693449184075426,0.422855919690109,0.884812121193757,-1.88874709555291,1.75005725873782,95.5815278347416,0.512230270704089,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.932782862081784
"NAFLD","SRC_FAK",2,-0.09039898697772,0.142893321125344,0.640902409007457,-1.9060307806283,1.72523280667286,0,0,"SMDH 2","GSE33814;GSE66676",0.919661679056586
"PAAD","SRC_FAK",3,0.575215799946376,0.308695571669325,0.203436010097481,-0.752994044158214,1.90342564405097,89.8018677604898,0.256922000765238,"SMCRPH 3","GSE15471;GSE28735;GSE62452",0.361664017951077
"STAD","SRC_FAK",3,0.42284048058105,0.296883005320968,0.290393367773897,-0.854543992679436,1.70022495384154,90.7256652148075,0.233319882094014,"SMCRPH 3","GSE13911;GSE27342;GSE63089",0.464629388438236
"Asthma","TAM_AXL_AXIS",3,0.212577960225108,0.120341218577977,0.219356620588086,-0.305208512390801,0.730364432841017,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472",0.370313150300835
"COPD","TAM_AXL_AXIS",1,0.261304594832462,0.174185101434425,0.133574340024779,-0.0800919306224667,0.602701120287391,0,0,"SMDH 1","GSE76925",NA
"CRC","TAM_AXL_AXIS",3,0.00906458609522428,0.0830783950888584,0.923077007056327,-0.348392897317057,0.366522069507505,0.00521915276143818,1.32848977424286e-06,"SMCRPH 2|SMDH 1","GSE23878;GSE41258;GSE44076",0.923077007056327
"ESCC","TAM_AXL_AXIS",2,-0.656736561980505,0.11851317992116,0.11365970946913,-2.16258928999388,0.849116166032865,0,0,"SMCRPH 2","GSE20347;GSE23400",0.483053765243802
"HCC","TAM_AXL_AXIS",2,-0.31912803215273,0.138622670510802,0.260879306996153,-2.08049606473826,1.4422400004328,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232",0.434646555131756
"IBD","TAM_AXL_AXIS",3,0.698235243014838,0.156357315949676,0.0466635944475877,0.0254840107276675,1.37098647530201,17.5925165840785,0.013211365124654,"SMCRPH 1|SMDH 2","GSE179285;GSE75214;GSE87473",0.0881423450676656
"LUAD","TAM_AXL_AXIS",3,-0.319493366781959,0.0612684829337307,0.0348630684855733,-0.583110372124384,-0.0558763614395341,0,0,"SMCRPH 3","GSE10072;GSE19804;GSE32863",0.0846674520363923
