"disease","feature","k","n_case","n_control","smd_min","smd_max","direction_consistency","smd_FE","smd_RE","se_RE","ci_low","ci_high","p_RE","Q","I2","tau2","accession","fdr_RE"
"IBD","VEGF_PDGF_AXIS",3,202,75,1.14228811919805,1.51300031323188,1,1.29606014338389,1.29606014338389,0.155563160790527,0.991156348234462,1.60096393853333,7.98865863257054e-17,0.859596331060714,0,0,"GSE75214;GSE87473;GSE179285",6.79035983768496e-16
"IBD","ERBB_RECEPTORS",3,202,75,-1.31220491894465,-1.19400827759638,1,-1.27942046290834,-1.27942046290834,0.154611170648491,-1.58245835737939,-0.976382568437302,1.28364825038966e-16,0.108654660123622,0,0,"GSE75214;GSE87473;GSE179285",7.27400675220805e-16
"IBD","HGF_MET_AXIS",3,202,75,1.22712495174091,1.91260940648997,1,1.52065289100984,1.51795870480367,0.202549120192298,1.12096242922677,1.91495498038058,6.66660785071549e-14,3.21500365193714,37.7916725290518,0.0465833519345196,"GSE75214;GSE87473;GSE179285",2.52269872138344e-13
"IBD","TIE_ANGPT_AXIS",3,202,75,1.06446884286535,1.25986342591351,1,1.14101481222397,1.14101481222397,0.152537554815278,0.842041204786021,1.43998841966191,7.41970212171601e-14,0.3549657467572,0,0,"GSE75214;GSE87473;GSE179285",2.52269872138344e-13
"IBD","PDGFR_KIT_CSF1R",3,202,75,0.917278008025534,1.63885527969242,1,1.35054980141265,1.33831142516834,0.205191161095181,0.936136749421787,1.7404861009149,6.92528485992456e-11,3.46333590619367,42.2522084437928,0.0533913324519883,"GSE75214;GSE87473;GSE179285",1.96216404364529e-10
"IBD","TGFB_SMAD",3,202,75,0.680775099362342,1.4948038092331,1,1.0581149151868,1.04604486182221,0.237513403700037,0.580518590570137,1.51157113307428,1.06199022937599e-05,4.88504823377811,59.05874611082,0.0998828950300266,"GSE75214;GSE87473;GSE179285",2.57911912848454e-05
"IBD","TAM_AXL_AXIS",3,202,75,0.373426302834139,0.80094815809744,1,0.604853659322702,0.604853659322702,0.146709596865826,0.317302849465683,0.89240446917972,3.74302048588794e-05,1.33087051851207,0,0,"GSE75214;GSE87473;GSE179285",7.95391853251188e-05
"IBD","IGF_INSR_AXIS",3,202,75,-0.79234636144423,-0.371315357765053,1,-0.560813854368219,-0.560813854368219,0.146621452715835,-0.848191901691256,-0.273435807045182,0.000130819890688963,1.46570989287433,0,0,"GSE75214;GSE87473;GSE179285",0.00024710423796804
"IBD","SRC_FAK",3,202,75,0.442038701768916,0.462230126604971,1,0.453686741753368,0.453686741753368,0.145771104992634,0.167975375967806,0.739398107538931,0.00185621376516044,0.00376270214718975,0,0,"GSE75214;GSE87473;GSE179285",0.00315556340077276
"IBD","ERBB_LIGANDS",3,202,75,0.201934215209841,1.17247176735466,1,0.682749179424951,0.662238978765354,0.276761004456132,0.119787410031335,1.20469054749937,0.0167194886728897,6.96605103911035,71.2893289358468,0.163651751252748,"GSE75214;GSE87473;GSE179285",0.0258392097671932
"IBD","RAS_MAPK",3,202,75,0.0740114049690514,0.484808797369852,1,0.226166263158485,0.226166263158485,0.145004439601899,-0.0580424384612361,0.510374964778206,0.118826163797991,1.80015888544799,0,0,"GSE75214;GSE87473;GSE179285",0.168337065380487
"IBD","PI3K_AKT",3,202,75,-0.0552311869002492,0.579935245604522,0.666666666666667,0.232099920801002,0.223323640626603,0.190656760790336,-0.150363610522456,0.597010891775661,0.241462665133889,3.42651835929269,41.6317150446307,0.0454301489714935,"GSE75214;GSE87473;GSE179285",0.31575886979047
"IBD","WNT_CTNNB1",3,202,75,-0.352752714337921,0.77263648673487,0.666666666666667,0.194119219754135,0.197611631294225,0.341008543060752,-0.470765113104849,0.8659883756933,0.562257423762861,10.8281230010917,81.5295781198796,0.284087006993467,"GSE75214;GSE87473;GSE179285",0.682741157426331
