"accession","sample_id","patient_id","group"
"GSE20347","GSM509810","E1546","Case"
"GSE20347","GSM509811","E1566","Case"
"GSE20347","GSM509812","E1584","Case"
"GSE20347","GSM509813","E1589","Case"
"GSE20347","GSM509814","E1603","Case"
"GSE20347","GSM509815","E1610","Case"
"GSE20347","GSM509816","E1614","Case"
"GSE20347","GSM509817","E1635","Case"
"GSE20347","GSM509818","E1709","Case"
"GSE20347","GSM509819","E1796","Case"
"GSE20347","GSM509820","E2644","Case"
"GSE23400","GSM573846","01","Control"
"GSE23400","GSM573847","02","Control"
"GSE23400","GSM573848","03","Control"
"GSE23400","GSM573849","04","Control"
"GSE23400","GSM573850","05","Control"
"GSE23400","GSM573851","06","Control"
"GSE23400","GSM573852","07","Control"
"GSE23400","GSM573853","08","Control"
"GSE23400","GSM573854","09","Control"
"GSE23400","GSM573855","10","Control"
"GSE23400","GSM573856","11","Control"
"GSE23400","GSM573857","12","Control"
"GSE23400","GSM573858","13","Control"
"GSE23400","GSM573859","14","Control"
"GSE23400","GSM573860","15","Control"
"GSE23400","GSM573861","16","Control"
"GSE23400","GSM573862","17","Control"
"GSE23400","GSM573863","18","Control"
"GSE23400","GSM573864","19","Control"
"GSE23400","GSM573865","20","Control"
"GSE23400","GSM573866","21","Control"
"GSE23400","GSM573867","22","Control"
"GSE23400","GSM573868","23","Control"
"GSE23400","GSM573869","24","Control"
"GSE23400","GSM573870","25","Control"
"GSE23400","GSM573871","26","Control"
"GSE23400","GSM573872","27","Control"
"GSE23400","GSM573873","28","Control"
"GSE23400","GSM573874","29","Control"
"GSE23400","GSM573875","30","Control"
"GSE23400","GSM573876","31","Control"
"GSE23400","GSM573877","32","Control"
"GSE23400","GSM573878","33","Control"
"GSE23400","GSM573879","34","Control"
"GSE23400","GSM573880","35","Control"
"GSE23400","GSM573881","36","Control"
"GSE23400","GSM573882","37","Control"
"GSE23400","GSM573883","38","Control"
"GSE23400","GSM573884","39","Control"
"GSE23400","GSM573885","40","Control"
"GSE23400","GSM573886","41","Control"
"GSE23400","GSM573887","42","Control"
"GSE23400","GSM573888","43","Control"
"GSE23400","GSM573889","44","Control"
"GSE23400","GSM573890","45","Control"
"GSE23400","GSM573891","46","Control"
"GSE23400","GSM573892","47","Control"
"GSE23400","GSM573893","48","Control"
"GSE23400","GSM573894","49","Control"
"GSE23400","GSM573895","50","Control"
"GSE23400","GSM573896","51","Control"
"GSE23400","GSM573897","52","Control"
"GSE23400","GSM573898","53","Control"
"GSE23400","GSM573899","01","Case"
"GSE23400","GSM573900","02","Case"
"GSE23400","GSM573901","03","Case"
"GSE23400","GSM573902","04","Case"
"GSE23400","GSM573903","05","Case"
"GSE23400","GSM573904","06","Case"
"GSE23400","GSM573905","07","Case"
"GSE23400","GSM573906","08","Case"
"GSE23400","GSM573907","09","Case"
"GSE23400","GSM573908","10","Case"
"GSE23400","GSM573909","11","Case"
"GSE23400","GSM573910","12","Case"
"GSE23400","GSM573911","13","Case"
"GSE23400","GSM573912","14","Case"
"GSE23400","GSM573913","15","Case"
"GSE23400","GSM573914","16","Case"
"GSE23400","GSM573915","17","Case"
"GSE23400","GSM573916","18","Case"
"GSE23400","GSM573917","19","Case"
"GSE23400","GSM573918","20","Case"
"GSE23400","GSM573919","21","Case"
"GSE23400","GSM573920","22","Case"
"GSE23400","GSM573921","23","Case"
"GSE23400","GSM573922","24","Case"
"GSE23400","GSM573923","25","Case"
"GSE23400","GSM573924","26","Case"
"GSE23400","GSM573925","27","Case"
"GSE23400","GSM573926","28","Case"
"GSE23400","GSM573927","29","Case"
"GSE23400","GSM573928","30","Case"
"GSE23400","GSM573929","31","Case"
"GSE23400","GSM573930","32","Case"
"GSE23400","GSM573931","33","Case"
"GSE23400","GSM573932","34","Case"
"GSE23400","GSM573933","35","Case"
"GSE23400","GSM573934","36","Case"
"GSE23400","GSM573935","37","Case"
"GSE23400","GSM573936","38","Case"
"GSE23400","GSM573937","39","Case"
"GSE23400","GSM573938","40","Case"
"GSE23400","GSM573939","41","Case"
"GSE23400","GSM573940","42","Case"
"GSE23400","GSM573941","43","Case"
"GSE23400","GSM573942","44","Case"
"GSE23400","GSM573943","45","Case"
"GSE23400","GSM573944","46","Case"
"GSE23400","GSM573945","47","Case"
"GSE23400","GSM573946","48","Case"
"GSE23400","GSM573947","49","Case"
"GSE23400","GSM573948","50","Case"
"GSE23400","GSM573949","51","Case"
"GSE23400","GSM573950","52","Case"
"GSE23400","GSM573951","53","Case"
"GSE28735","GSM711904","1","Case"
"GSE28735","GSM711905","1","Control"
"GSE28735","GSM711906","2","Case"
"GSE28735","GSM711907","2","Control"
"GSE28735","GSM711908","3","Case"
"GSE28735","GSM711909","3","Control"
"GSE28735","GSM711910","4","Case"
"GSE28735","GSM711911","4","Control"
"GSE28735","GSM711912","5","Case"
"GSE28735","GSM711913","5","Control"
"GSE28735","GSM711914","6","Case"
"GSE28735","GSM711915","6","Control"
"GSE28735","GSM711916","7","Case"
"GSE28735","GSM711917","7","Control"
"GSE28735","GSM711918","8","Case"
"GSE28735","GSM711919","8","Control"
"GSE28735","GSM711920","9","Case"
"GSE28735","GSM711921","9","Control"
"GSE28735","GSM711922","10","Case"
"GSE28735","GSM711923","10","Control"
"GSE28735","GSM711924","11","Case"
"GSE28735","GSM711925","11","Control"
"GSE28735","GSM711926","12","Case"
"GSE28735","GSM711927","12","Control"
"GSE28735","GSM711928","13","Case"
"GSE28735","GSM711929","13","Control"
"GSE28735","GSM711930","14","Case"
"GSE28735","GSM711931","14","Control"
"GSE28735","GSM711932","15","Case"
"GSE28735","GSM711933","15","Control"
"GSE28735","GSM711934","16","Case"
"GSE28735","GSM711935","16","Control"
"GSE28735","GSM711936","17","Case"
"GSE28735","GSM711937","17","Control"
"GSE28735","GSM711938","18","Case"
"GSE28735","GSM711939","18","Control"
"GSE28735","GSM711940","19","Case"
"GSE28735","GSM711941","19","Control"
"GSE28735","GSM711942","20","Case"
"GSE28735","GSM711943","20","Control"
"GSE28735","GSM711944","21","Case"
"GSE28735","GSM711945","21","Control"
"GSE28735","GSM711946","22","Case"
"GSE28735","GSM711947","22","Control"
"GSE28735","GSM711948","23","Case"
"GSE28735","GSM711949","23","Control"
"GSE28735","GSM711950","24","Case"
"GSE28735","GSM711951","24","Control"
"GSE28735","GSM711952","25","Case"
"GSE28735","GSM711953","25","Control"
"GSE28735","GSM711954","26","Case"
"GSE28735","GSM711955","26","Control"
"GSE28735","GSM711956","27","Case"
"GSE28735","GSM711957","27","Control"
"GSE28735","GSM711958","28","Case"
"GSE28735","GSM711959","28","Control"
"GSE28735","GSM711960","29","Case"
"GSE28735","GSM711961","29","Control"
"GSE28735","GSM711962","30","Case"
"GSE28735","GSM711963","30","Control"
"GSE28735","GSM711964","31","Case"
"GSE28735","GSM711965","31","Control"
"GSE28735","GSM711966","32","Case"
"GSE28735","GSM711967","32","Control"
"GSE28735","GSM711968","33","Case"
"GSE28735","GSM711969","33","Control"
"GSE28735","GSM711970","34","Case"
"GSE28735","GSM711971","34","Control"
"GSE28735","GSM711972","35","Case"
"GSE28735","GSM711973","35","Control"
"GSE28735","GSM711974","36","Case"
"GSE28735","GSM711975","36","Control"
"GSE28735","GSM711976","37","Case"
"GSE28735","GSM711977","37","Control"
"GSE28735","GSM711978","38","Case"
"GSE28735","GSM711979","38","Control"
"GSE28735","GSM711980","42","Case"
"GSE28735","GSM711981","42","Control"
"GSE28735","GSM711982","43","Case"
"GSE28735","GSM711983","43","Control"
"GSE28735","GSM711984","44","Case"
"GSE28735","GSM711985","44","Control"
"GSE28735","GSM711986","45","Case"
"GSE28735","GSM711987","45","Control"
"GSE28735","GSM711988","39","Case"
"GSE28735","GSM711989","39","Control"
"GSE28735","GSM711990","40","Case"
"GSE28735","GSM711991","40","Control"
"GSE28735","GSM711992","41","Case"
"GSE28735","GSM711993","41","Control"
"GSE33814","GSM836222",NA,"Case"
"GSE33814","GSM836223",NA,"Case"
"GSE33814","GSM836224",NA,"Case"
"GSE33814","GSM836225",NA,"Case"
"GSE33814","GSM836226",NA,"Case"
"GSE33814","GSM836227",NA,"Case"
"GSE33814","GSM836228",NA,"Case"
"GSE33814","GSM836229",NA,"Case"
"GSE33814","GSM836230",NA,"Case"
"GSE33814","GSM836231",NA,"Case"
"GSE33814","GSM836232",NA,"Case"
"GSE33814","GSM836233",NA,"Case"
"GSE33814","GSM836234",NA,"Case"
"GSE33814","GSM836235",NA,"Case"
"GSE33814","GSM836236",NA,"Case"
"GSE33814","GSM836237",NA,"Case"
"GSE33814","GSM836238",NA,"Case"
"GSE33814","GSM836239",NA,"Case"
"GSE33814","GSM836240",NA,"Case"
"GSE33814","GSM836241",NA,"Case"
"GSE33814","GSM836242",NA,"Case"
"GSE33814","GSM836243",NA,"Case"
"GSE33814","GSM836244",NA,"Case"
"GSE33814","GSM836245",NA,"Case"
"GSE33814","GSM836246",NA,"Control"
"GSE33814","GSM836247",NA,"Control"
"GSE33814","GSM836248",NA,"Control"
"GSE33814","GSM836249",NA,"Case"
"GSE33814","GSM836250",NA,"Case"
"GSE33814","GSM836251",NA,"Control"
"GSE33814","GSM836252",NA,"Case"
"GSE33814","GSM836253",NA,"Case"
"GSE33814","GSM836254",NA,"Case"
"GSE33814","GSM836255",NA,"Control"
"GSE33814","GSM836256",NA,"Control"
"GSE33814","GSM836257",NA,"Control"
"GSE33814","GSM836258",NA,"Control"
"GSE33814","GSM836259",NA,"Control"
"GSE33814","GSM836260",NA,"Case"
"GSE33814","GSM836261",NA,"Control"
"GSE33814","GSM836262",NA,"Control"
"GSE33814","GSM836263",NA,"Case"
"GSE33814","GSM836264",NA,"Control"
"GSE33814","GSM836265",NA,"Control"
"GSE47460","GSM1149948",NA,"Control"
"GSE47460","GSM1149951",NA,"Control"
"GSE47460","GSM1149958",NA,"Control"
"GSE47460","GSM1149962",NA,"Control"
"GSE47460","GSM1149963",NA,"Control"
"GSE47460","GSM1149966",NA,"Control"
"GSE47460","GSM1149971",NA,"Control"
"GSE47460","GSM1149975",NA,"Control"
"GSE47460","GSM1149981",NA,"Control"
"GSE47460","GSM1149987",NA,"Control"
"GSE47460","GSM1149988",NA,"Control"
"GSE47460","GSM1149992",NA,"Control"
"GSE47460","GSM1149998",NA,"Control"
"GSE47460","GSM1150001",NA,"Control"
"GSE47460","GSM1150012",NA,"Control"
"GSE47460","GSM1150014",NA,"Control"
"GSE47460","GSM1150017",NA,"Control"
"GSE47460","GSM1150030",NA,"Control"
"GSE47460","GSM1150031",NA,"Control"
"GSE47460","GSM1150032",NA,"Control"
"GSE47460","GSM1150037",NA,"Control"
"GSE47460","GSM1150040",NA,"Control"
"GSE47460","GSM1150041",NA,"Control"
"GSE47460","GSM1150053",NA,"Control"
"GSE47460","GSM1150055",NA,"Control"
"GSE47460","GSM1150070",NA,"Control"
"GSE47460","GSM1150075",NA,"Control"
"GSE47460","GSM1150078",NA,"Control"
"GSE47460","GSM1150080",NA,"Control"
"GSE47460","GSM1150081",NA,"Control"
"GSE47460","GSM1150085",NA,"Control"
"GSE47460","GSM1150090",NA,"Control"
"GSE47460","GSM1150143",NA,"Control"
"GSE47460","GSM1150144",NA,"Control"
"GSE47460","GSM1150145",NA,"Case"
"GSE47460","GSM1150146",NA,"Control"
"GSE47460","GSM1150147",NA,"Case"
"GSE47460","GSM1150148",NA,"Control"
"GSE47460","GSM1150149",NA,"Control"
"GSE47460","GSM1150150",NA,"Control"
"GSE47460","GSM1150151",NA,"Control"
"GSE47460","GSM1150152",NA,"Control"
"GSE47460","GSM1150153",NA,"Control"
