context,module,cell_type,paired,n_case_patients,n_control_patients,n_pairs,case_patient_mean,control_patient_mean,paired_diff_mean,p_value,p_method,fdr_global,fdr_context
CRC,WNT_CTNNB1,malignant cell,True,28,20,19,0.698496942166918,0.43481017427343815,0.3134232632147506,0.000335693359375,wilcoxon_paired,0.0109100341796875,0.005035400390625
CRC,WNT_CTNNB1,secretory cell,True,19,18,13,0.34420604918691544,0.3991098803159891,-0.02844859693279576,0.305419921875,wilcoxon_paired,0.6257997928241841,0.47392746497844823
CRC,WNT_CTNNB1,tuft cell of colon,True,16,18,11,0.2671203832162958,0.2980631417545578,-0.045869399473816096,0.4130859375,wilcoxon_paired,0.6948940611206676,0.61962890625
IBD,VEGF_PDGF_AXIS,T cell of anorectum,False,12,6,0,0.016991134419332754,0.01401481873063045,,0.33548804137039434,mannwhitneyu,0.6440573661928387,0.6168255790180401
IBD,VEGF_PDGF_AXIS,colon epithelial cell,False,12,6,0,0.1316665396561579,0.13196725794226288,,0.8916181857358327,mannwhitneyu,0.993851825734401,0.9635854341736694
IBD,VEGF_PDGF_AXIS,myeloid cell,False,12,6,0,0.17275016298132473,0.15894769807733752,,0.9635854341736694,mannwhitneyu,0.993851825734401,0.9635854341736694
IBD,VEGF_PDGF_AXIS,plasma cell,False,12,6,0,0.03432289949223232,0.02806351684014904,,0.1797026502908856,mannwhitneyu,0.44925662572721403,0.44925662572721403
IBD,VEGF_PDGF_AXIS,stromal cell of lamina propria of colon,False,12,6,0,0.28832713150359496,0.16324538425441254,,0.013466925231631115,mannwhitneyu,0.0888671875,0.08416828269769447
IBD,HGF_MET_AXIS,T cell of anorectum,False,12,6,0,0.0005196894988058437,0.00027862491720806194,,0.3947683705715457,mannwhitneyu,0.6948940611206676,0.6168255790180401
IBD,HGF_MET_AXIS,colon epithelial cell,False,12,6,0,0.12059878852945331,0.06384936193408607,,0.009696186166774402,mannwhitneyu,0.0781625770234257,0.08080155138978669
IBD,HGF_MET_AXIS,myeloid cell,False,12,6,0,0.00879123256191232,0.009307829932429625,,0.7786177188876373,mannwhitneyu,0.9827213927708044,0.9635854341736694
IBD,HGF_MET_AXIS,plasma cell,False,12,6,0,0.001941420532802715,0.0015853453839052617,,0.6057226196064835,mannwhitneyu,0.8288835847246617,0.7970034468506363
IBD,HGF_MET_AXIS,stromal cell of lamina propria of colon,False,12,6,0,0.16204671262333611,0.0707741269905968,,0.06679594914889034,mannwhitneyu,0.25764016544117646,0.2783164547870431
IBD,EPH_RECEPTORS,T cell of anorectum,False,12,6,0,0.005468118651371992,0.0065648032025939,,0.8882172187345627,mannwhitneyu,0.993851825734401,0.9635854341736694
IBD,EPH_RECEPTORS,colon epithelial cell,False,12,6,0,0.21407371428392954,0.16645176613060428,,0.33548804137039434,mannwhitneyu,0.6440573661928387,0.6168255790180401
IBD,EPH_RECEPTORS,myeloid cell,False,12,6,0,0.01336617084650734,0.030178264712164532,,0.20515220237474951,mannwhitneyu,0.5026891768379846,0.466255005397158
IBD,EPH_RECEPTORS,plasma cell,False,12,6,0,0.0013486884715478021,0.002882347916247197,,0.34647108115409,mannwhitneyu,0.6440573661928387,0.6168255790180401
IBD,EPH_RECEPTORS,stromal cell of lamina propria of colon,False,12,6,0,0.10337545775215777,0.0627961236173634,,0.08306399482870072,mannwhitneyu,0.2784756652595252,0.29665712438821684
IBD,JAK_STAT,T cell of anorectum,False,12,6,0,0.47435125138186957,0.38289475939449774,,0.15050635638870935,mannwhitneyu,0.39667681049686,0.4180732121908593
IBD,JAK_STAT,colon epithelial cell,False,12,6,0,0.2888026254024179,0.18589527127052075,,0.001292824822236587,mannwhitneyu,0.028011204481792715,0.03232062055591467
IBD,JAK_STAT,myeloid cell,False,12,6,0,0.48936945025707757,0.27662597166345615,,0.003232062055591467,mannwhitneyu,0.03620147705078125,0.04040077569489334
IBD,JAK_STAT,plasma cell,False,12,6,0,0.2505670008990761,0.20974802517219457,,0.49364361129067014,mannwhitneyu,0.7699554267970995,0.6856161267925974
IBD,JAK_STAT,stromal cell of lamina propria of colon,False,12,6,0,0.5548109118636929,0.4520509458753737,,0.1246498599439776,mannwhitneyu,0.36828367710720655,0.38953081232493003
IBD,WNT_CTNNB1,T cell of anorectum,False,12,6,0,0.19419031887881058,0.1833321396354414,,0.8200818789054083,mannwhitneyu,0.993851825734401,0.9635854341736694
