"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"IBD","RET_ALK_NTRK",2,-0.162861412379102,0.317943720195576,0.698632849430529,-4.20271941576514,3.87699659100694,67.601801466152,0.137352872221565,"SMDH 2","GSE87473;GSE179285","",0.791783896021266
"LUAD","RET_ALK_NTRK",3,-0.997745912743957,0.272326654632754,0.0670872777764992,-2.16947293668311,0.173981111195199,79.5521428100088,0.181876520560822,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.114048372220049
"NAFLD","RET_ALK_NTRK",1,-0.404519329702835,0.318617632302729,0.204224483112209,-1.02899841385561,0.219959754449939,0,0,"SMDH 1","GSE33814","",NA
"PAAD","RET_ALK_NTRK",1,-1.07792776471148,0.262958456333568,4.14523045853899e-05,-1.59331686855552,-0.562538660867439,0,0,"SMCRPH 1","GSE15471","",NA
"STAD","RET_ALK_NTRK",3,-1.142033140132,0.198846896727923,0.0290040932960202,-1.99760228314061,-0.286463997123398,60.5031850210032,0.0652478688492952,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.116016373184081
"Asthma","SRC_FAK",3,0.201997426293111,0.145758840671399,0.300096198516655,-0.4251522474068,0.829147099993022,10.5422075097812,0.00643923585573968,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.392433490367934
"COPD","SRC_FAK",2,-0.278477921330642,0.00613147092628312,0.0140147018466033,-0.356385646253898,-0.200570196407386,0,0,"SMDH 2","GSE76925;GSE47460","",0.21022052769905
"CRC","SRC_FAK",3,-0.528999894308436,0.148369258973383,0.070452204959782,-1.16738129144117,0.109381502824297,54.8967143628871,0.037311215715796,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.0921298064858688
"ESCC","SRC_FAK",2,1.36758553187531,0.188829229400421,0.0873489098384724,-1.03171731706054,3.76688838081115,6.31798254010273,0.00590724405437019,"SMCRPH 2","GSE23400;GSE20347","",0.399358533729142
"HCC","SRC_FAK",2,-0.938613061351047,0.357415759377276,0.231626686800527,-5.48001087593407,3.60278475323197,70.2699559475111,0.181435650020521,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.472001393376343
"IBD","SRC_FAK",3,0.464581925702526,0.00453090326790115,9.51005448653485e-05,0.445087022388661,0.484076829016392,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.00161670926271092
"LUAD","SRC_FAK",3,-0.0676927254750437,0.423087124448588,0.887582105872822,-1.88808969640561,1.75270424545552,93.064738246628,0.496265801060775,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.928827589235474
