"disease","feature","k","est","se","p","ci_lo","ci_hi","I2","tau2","measures","cohorts","note","fdr"
"ESCC","RET_ALK_NTRK",2,-0.439919234041002,0.35161799095926,0.429273257390735,-4.90764941609178,4.02781094800978,71.7290530694654,0.181857302904978,"SMCRPH 2","GSE23400;GSE20347","",0.556341190807378
"HCC","RET_ALK_NTRK",2,-1.16964025428325,0.513438571211657,0.263334426754964,-7.69349585954758,5.35421535098109,82.4638523418977,0.437442440045332,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.512913904699689
"IBD","RET_ALK_NTRK",2,-0.162861412379102,0.317943720195576,0.698632849430529,-4.20271941576514,3.87699659100694,67.601801466152,0.137352872221565,"SMDH 2","GSE87473;GSE179285","",0.791783896021266
"LUAD","RET_ALK_NTRK",3,-0.997745912743957,0.276438112178794,0.0689220514078444,-2.18716311071684,0.191671285228921,79.5521428100088,0.181876520560822,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.130215398348004
"NAFLD","RET_ALK_NTRK",1,-0.404519329702835,0.318617632302729,0.204224483112209,-1.02899841385561,0.219959754449939,0,0,"SMDH 1","GSE33814","",NA
"PAAD","RET_ALK_NTRK",1,-1.07792776471148,0.262958456333568,4.14523045853899e-05,-1.59331686855552,-0.562538660867439,0,0,"SMCRPH 1","GSE15471","",NA
"STAD","RET_ALK_NTRK",3,-1.142033140132,0.198846896727923,0.0290040932960202,-1.99760228314061,-0.286463997123398,60.5031850210032,0.0652478688492952,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.126872680754875
"Asthma","SRC_FAK",3,0.201997426293111,0.145758840671399,0.300096198516655,-0.4251522474068,0.829147099993022,10.5422075097812,0.00643923585573968,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.463785034071195
"COPD","SRC_FAK",2,-0.278477921330642,0.110090190173445,0.2396698580385,-1.67730641711884,1.12035057445755,0,0,"SMDH 2","GSE76925;GSE47460","",0.647626107011489
"CRC","SRC_FAK",3,-0.528999894308436,0.151892142397134,0.0734734117419816,-1.18253903542096,0.124539246804087,54.8967143628871,0.037311215715796,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.113549818146699
"ESCC","SRC_FAK",2,1.36758553187531,0.188829229400421,0.0873489098384724,-1.03171731706054,3.76688838081116,6.31798254010273,0.00590724405437019,"SMCRPH 2","GSE23400;GSE20347","",0.465918289350665
"HCC","SRC_FAK",2,-0.938613061351047,0.357415759377276,0.231626686800527,-5.48001087593407,3.60278475323197,70.2699559475111,0.181435650020521,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.512913904699689
"IBD","SRC_FAK",3,0.464581925702526,0.145137974074569,0.0852957138276999,-0.159896374639723,1.08906022604478,0,0,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.14500271350709
"LUAD","SRC_FAK",3,-0.0676927254750437,0.423087124448588,0.887582105872822,-1.88808969640561,1.75270424545552,93.064738246628,0.496265801060775,"SMCRPH 3","GSE32863;GSE19804;GSE10072","",0.929196205396909
"NAFLD","SRC_FAK",2,-0.0903989869777204,0.205200162978639,0.735828491749092,-2.69771426968072,2.51691629572528,0,0,"SMDH 2","GSE33814;GSE66676","",0.919661679056586
"PAAD","SRC_FAK",3,0.581730270794891,0.30774620721158,0.199287786463329,-0.742394787734056,1.90585532932384,84.8626250584255,0.238908032665085,"SMCRPH 3","GSE15471;GSE28735;GSE62452","",0.35428939815703
"STAD","SRC_FAK",3,0.435646642604573,0.295384104580665,0.278211711364717,-0.835288581294028,1.70658186650317,85.8173657434632,0.215099704933365,"SMCRPH 2|SMDH 1","GSE27342;GSE63089;GSE13911","",0.445138738183547
"Asthma","TAM_AXL_AXIS",3,0.212577960225108,0.135622957163681,0.257539446642136,-0.370960526631901,0.796116447082117,0,0,"SMDH 3","GSE4302;GSE43696;GSE67472","",0.437817059291631
"COPD","TAM_AXL_AXIS",1,0.261304594832462,0.174185101434425,0.133574340024779,-0.080091930622467,0.602701120287391,0,0,"SMDH 1","GSE76925","",NA
"CRC","TAM_AXL_AXIS",3,-0.024029804346515,0.101995574966097,0.835672760947992,-0.462881343396757,0.414821734703727,0.00373636564137714,1.27824210663709e-06,"SMCRPH 1|SMDH 2","GSE44076;GSE41258;GSE23878","",0.835672760947992
"ESCC","TAM_AXL_AXIS",2,-0.653262766244012,0.157909894133959,0.1509905001463,-2.65969821097777,1.35317267848975,0,0,"SMCRPH 2","GSE23400;GSE20347","",0.465918289350665
"HCC","TAM_AXL_AXIS",2,-0.351924756101362,0.213298115749689,0.346884880824436,-3.0621342846572,2.35828477245448,0,0,"SMCRPH 1|SMDH 1","GSE57957;GSE62232","",0.512913904699689
"IBD","TAM_AXL_AXIS",3,0.684045536894907,0.15802908371226,0.04944583716233,0.00410126848054515,1.36398980530927,23.7571937294551,0.0180402753586263,"SMDH 3","GSE75214;GSE87473;GSE179285","",0.115138482932921
