context,module,k,cohorts_positive,cohorts_negative,median_effect,direction_consistent,pattern,positive_cohorts,negative_cohorts,range_of_effects
CRC,PI3K_AKT,3,1,2,-0.041,FALSE,1 positive / 2 negative,GSE23878,GSE41258;GSE44076,-0.13 to 0.24
CRC,RAS_MAPK,3,1,2,-0.5,FALSE,1 positive / 2 negative,GSE23878,GSE41258;GSE44076,-0.75 to 0.10
CRC,RET_ALK_NTRK,3,0,3,-1.074,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-1.49 to -0.72
CRC,SRC_FAK,3,0,3,-0.41,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-0.45 to -0.29
CRC,TAM_AXL_AXIS,3,2,1,0.072,FALSE,2 positive / 1 negative,GSE41258;GSE44076,GSE23878,-0.35 to 0.19
CRC,TGFB_SMAD,3,0,3,-0.651,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-0.69 to -0.56
CRC,TIE_ANGPT_AXIS,3,0,3,-0.206,TRUE,all negative,,GSE23878;GSE41258;GSE44076,-0.22 to -0.04
CRC,VEGF_PDGF_AXIS,3,3,0,0.662,TRUE,all positive,GSE23878;GSE41258;GSE44076,,0.65 to 1.46
CRC,WNT_CTNNB1,3,3,0,2.516,TRUE,all positive,GSE23878;GSE41258;GSE44076,,2.39 to 3.41
ESCC,EPH_RECEPTORS,2,0,2,-0.494,TRUE,all negative,,GSE20347;GSE23400,-0.78 to -0.21
ESCC,ERBB_LIGANDS,2,0,2,-0.492,TRUE,all negative,,GSE20347;GSE23400,-0.51 to -0.47
ESCC,ERBB_RECEPTORS,2,0,2,-0.816,TRUE,all negative,,GSE20347;GSE23400,-1.06 to -0.57
ESCC,FGFR_AXIS,2,1,1,-0.314,FALSE,1 positive / 1 negative,GSE20347,GSE23400,-1.00 to 0.38
ESCC,HGF_MET_AXIS,2,2,0,0.63,TRUE,all positive,GSE20347;GSE23400,,0.38 to 0.88
ESCC,IGF_INSR_AXIS,2,2,0,1.011,TRUE,all positive,GSE20347;GSE23400,,0.62 to 1.40
ESCC,JAK_STAT,2,1,1,-0.193,FALSE,1 positive / 1 negative,GSE23400,GSE20347,-0.51 to 0.13
ESCC,PDGFR_KIT_CSF1R,2,0,2,-0.352,TRUE,all negative,,GSE20347;GSE23400,-0.51 to -0.19
ESCC,PI3K_AKT,2,1,1,0.343,FALSE,1 positive / 1 negative,GSE23400,GSE20347,-0.03 to 0.72
ESCC,RAS_MAPK,2,0,2,-0.517,TRUE,all negative,,GSE20347;GSE23400,-0.95 to -0.09
ESCC,RET_ALK_NTRK,2,0,2,-0.384,TRUE,all negative,,GSE20347;GSE23400,-0.74 to -0.03
ESCC,SRC_FAK,2,2,0,1.473,TRUE,all positive,GSE20347;GSE23400,,1.26 to 1.69
ESCC,TAM_AXL_AXIS,2,0,2,-0.742,TRUE,all negative,,GSE20347;GSE23400,-0.89 to -0.60
ESCC,TGFB_SMAD,2,2,0,0.442,TRUE,all positive,GSE20347;GSE23400,,0.06 to 0.83
ESCC,TIE_ANGPT_AXIS,2,2,0,0.491,TRUE,all positive,GSE20347;GSE23400,,0.18 to 0.80
ESCC,VEGF_PDGF_AXIS,2,2,0,1.126,TRUE,all positive,GSE20347;GSE23400,,0.87 to 1.38
ESCC,WNT_CTNNB1,2,2,0,0.53,TRUE,all positive,GSE20347;GSE23400,,0.44 to 0.62
HCC,EPH_RECEPTORS,2,0,2,-0.292,TRUE,all negative,,GSE57957;GSE62232,-0.43 to -0.16
HCC,ERBB_LIGANDS,2,0,2,-0.897,TRUE,all negative,,GSE57957;GSE62232,-1.49 to -0.30
HCC,ERBB_RECEPTORS,2,0,2,-0.494,TRUE,all negative,,GSE57957;GSE62232,-0.56 to -0.43
HCC,FGFR_AXIS,2,0,2,-0.559,TRUE,all negative,,GSE57957;GSE62232,-0.78 to -0.34
HCC,HGF_MET_AXIS,2,0,2,-0.728,TRUE,all negative,,GSE57957;GSE62232,-1.11 to -0.35
HCC,IGF_INSR_AXIS,2,0,2,-1.071,TRUE,all negative,,GSE57957;GSE62232,-1.25 to -0.89
HCC,JAK_STAT,2,2,0,0.825,TRUE,all positive,GSE57957;GSE62232,,0.31 to 1.34
HCC,PDGFR_KIT_CSF1R,2,1,1,-0.063,FALSE,1 positive / 1 negative,GSE62232,GSE57957,-0.16 to 0.03
HCC,PI3K_AKT,2,2,0,1.008,TRUE,all positive,GSE57957;GSE62232,,0.12 to 1.90
HCC,RAS_MAPK,2,2,0,0.924,TRUE,all positive,GSE57957;GSE62232,,0.80 to 1.05
HCC,RET_ALK_NTRK,2,0,2,-1.21,TRUE,all negative,,GSE57957;GSE62232,-1.72 to -0.69
HCC,SRC_FAK,2,0,2,-0.975,TRUE,all negative,,GSE57957;GSE62232,-1.33 to -0.62
HCC,TAM_AXL_AXIS,2,0,2,-0.508,TRUE,all negative,,GSE57957;GSE62232,-0.74 to -0.27
HCC,TGFB_SMAD,2,2,0,1.138,TRUE,all positive,GSE57957;GSE62232,,0.37 to 1.91
HCC,TIE_ANGPT_AXIS,2,2,0,0.278,TRUE,all positive,GSE57957;GSE62232,,0.15 to 0.41
HCC,VEGF_PDGF_AXIS,2,2,0,0.634,TRUE,all positive,GSE57957;GSE62232,,0.38 to 0.89
HCC,WNT_CTNNB1,2,1,1,0.43,FALSE,1 positive / 1 negative,GSE62232,GSE57957,-0.02 to 0.88
IBD,EPH_RECEPTORS,3,1,2,-0.307,FALSE,1 positive / 2 negative,GSE87473,GSE179285;GSE75214,-0.50 to 0.45
IBD,ERBB_LIGANDS,3,2,1,0.576,FALSE,2 positive / 1 negative,GSE75214;GSE87473,GSE179285,-0.13 to 1.35
