context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,n_pairs,median_diff,mean_a,mean_b,p_paired,p_unpaired,test_used,p_used,fdr
CRC,SRC_FAK,tuft cell of colon,tumour-vs-adjacent,16,18,11,11,0.048360012433221244,0.3180860435680435,0.2186620116853584,0.46484375,nan,wilcoxon-signed-rank (paired donors),0.46484375,1.0
CRC,SRC_FAK,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,16,0,nan,0.23620204289122512,0.2962515925021598,nan,0.021135011133147256,mann-whitney (cell-identity; unpaired),0.021135011133147256,0.08454004453258902
CRC,SRC_FAK,malignant cell vs colonocyte,cell-identity,28,20,20,0,nan,0.23620204289122512,0.18279314131156288,nan,0.10508388345296737,mann-whitney (cell-identity; unpaired),0.10508388345296737,0.21016776690593475
CRC,SRC_FAK,malignant cell vs early colonocyte,cell-identity,28,20,20,0,nan,0.23620204289122512,0.21470422419946833,nan,0.5100675275575344,mann-whitney (cell-identity; unpaired),0.5100675275575344,0.6800900367433792
CRC,SRC_FAK,malignant cell vs secretory cell,cell-identity,28,18,18,0,nan,0.23620204289122512,0.21624078949444325,nan,0.9014807480105274,mann-whitney (cell-identity; unpaired),0.9014807480105274,0.9014807480105274
CRC,WNT_CTNNB1,BEST4+ colonocyte,tumour-vs-adjacent,9,16,8,8,-0.0031266468076261156,0.4183040639869391,0.48475988332343867,0.9453125,nan,wilcoxon-signed-rank (paired donors),0.9453125,0.9453125
CRC,WNT_CTNNB1,colon goblet cell,tumour-vs-adjacent,14,17,10,10,-0.11495627868583111,0.2529640335459024,0.32838563511650876,0.009765625,nan,wilcoxon-signed-rank (paired donors),0.009765625,0.029296875
CRC,WNT_CTNNB1,colonocyte,tumour-vs-adjacent,14,20,13,13,0.03770118208119161,0.2971178124548887,0.2289880817414629,0.305419921875,nan,wilcoxon-signed-rank (paired donors),0.305419921875,0.39268275669642855
CRC,WNT_CTNNB1,early colonocyte,tumour-vs-adjacent,18,20,14,14,-0.1206991793896105,0.3913222636673832,0.5177857900836617,0.0008544921875,nan,wilcoxon-signed-rank (paired donors),0.0008544921875,0.00384521484375
CRC,WNT_CTNNB1,enteroendocrine cell of colon,tumour-vs-adjacent,9,15,6,6,-0.036212452110790064,0.25849634408950806,0.26686317044768226,0.21875,nan,wilcoxon-signed-rank (paired donors),0.21875,0.39268275669642855
CRC,WNT_CTNNB1,intestinal crypt stem cell of colon,tumour-vs-adjacent,21,20,16,16,0.15303104027953682,0.47711951453293416,0.39800606576691366,0.09344482421875,nan,wilcoxon-signed-rank (paired donors),0.09344482421875,0.2102508544921875
CRC,WNT_CTNNB1,malignant cell,tumour-vs-adjacent,28,20,19,19,0.2378623908590478,0.698496942166918,0.43481017427343815,0.000335693359375,nan,wilcoxon-signed-rank (paired donors),0.000335693359375,0.003021240234375
CRC,WNT_CTNNB1,secretory cell,tumour-vs-adjacent,19,18,13,13,-0.02554154355950483,0.34420604918691544,0.3991098803159891,0.305419921875,nan,wilcoxon-signed-rank (paired donors),0.305419921875,0.39268275669642855
CRC,WNT_CTNNB1,tuft cell of colon,tumour-vs-adjacent,16,18,11,11,-0.10110109780843443,0.2671203832162958,0.2980631417545578,0.4130859375,nan,wilcoxon-signed-rank (paired donors),0.4130859375,0.4647216796875
CRC,WNT_CTNNB1,malignant cell vs BEST4+ colonocyte,cell-identity,28,16,16,0,nan,0.698496942166918,0.48475988332343867,nan,0.003838910992924945,mann-whitney (cell-identity; unpaired),0.003838910992924945,0.003838910992924945
CRC,WNT_CTNNB1,malignant cell vs colonocyte,cell-identity,28,20,20,0,nan,0.698496942166918,0.2289880817414629,nan,6.452360010171335e-08,mann-whitney (cell-identity; unpaired),6.452360010171335e-08,2.580944004068534e-07
