context,module,cell_type,comparison_type,n_donors_a,n_donors_b,n_overlap_donors,median_diff,test_used,p_used,fdr_family,fdr_global
IBD,HGF_MET_AXIS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.06679594914889034,0.16698987287222583,0.19524969751214097
IBD,EPH_RECEPTORS,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.8882172187345627,0.8882172187345627,0.9479649567656824
IBD,EPH_RECEPTORS,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.33548804137039434,0.43308885144261244,0.536780866192631
IBD,EPH_RECEPTORS,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.20515220237474951,0.43308885144261244,0.41030440474949903
IBD,EPH_RECEPTORS,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.34647108115409,0.43308885144261244,0.5483639329813891
IBD,EPH_RECEPTORS,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.08306399482870072,0.41531997414350363,0.22150398620986858
IBD,JAK_STAT,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.15050635638870935,0.1881329454858867,0.3392857142857143
IBD,JAK_STAT,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.001292824822236587,0.006464124111182934,0.014036383784282944
IBD,JAK_STAT,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.003232062055591467,0.008080155138978667,0.02456367162249515
IBD,JAK_STAT,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.49364361129067014,0.49364361129067014,0.6821257174198351
IBD,JAK_STAT,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.1246498599439776,0.1881329454858867,0.3055932050239451
IBD,SRC_FAK,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.21288515406162467,0.31202865761689297,0.415625
IBD,SRC_FAK,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.6164619694031459,0.6164619694031459,0.774398507018828
IBD,SRC_FAK,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.1246498599439776,0.31202865761689297,0.3055932050239451
IBD,SRC_FAK,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.15050635638870935,0.31202865761689297,0.3392857142857143
IBD,SRC_FAK,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.24962292609351436,0.31202865761689297,0.45714078031583355
IBD,WNT_CTNNB1,T cell of anorectum,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.8200818789054083,0.9635854341736694,0.9233514488416449
IBD,WNT_CTNNB1,colon epithelial cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.03199741435035553,0.15998707175177765,0.10808015513897867
IBD,WNT_CTNNB1,myeloid cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.9635854341736694,0.9635854341736694,0.9971570011813131
IBD,WNT_CTNNB1,plasma cell,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.3845076492135316,0.8227393521511169,0.5729917909848706
IBD,WNT_CTNNB1,stromal cell of lamina propria of colon,case-vs-healthy,12,6,0,nan,mann-whitney (donor-disjoint),0.49364361129067014,0.8227393521511169,0.6821257174198351
STAD,ERBB_RECEPTORS,enterocyte,tumour-vs-adjacent,12,13,0,nan,mann-whitney (donor-disjoint),0.36946194274750377,0.9236548568687595,0.5651254653307681
STAD,ERBB_RECEPTORS,enteroendocrine cell,tumour-vs-adjacent,17,14,0,nan,mann-whitney (donor-disjoint),0.1366104258814518,0.683052129407259,0.32959975768223293
STAD,ERBB_RECEPTORS,epithelial cell,tumour-vs-adjacent,26,31,2,0.016896769842785042,not testable,nan,nan,nan
STAD,ERBB_RECEPTORS,foveolar cell of stomach,tumour-vs-adjacent,26,31,2,0.07247889222593235,not testable,nan,nan,nan
STAD,ERBB_RECEPTORS,intestine goblet cell,tumour-vs-adjacent,13,12,0,nan,mann-whitney (donor-disjoint),0.6053433393365069,1.0,0.7672486515015459
STAD,ERBB_RECEPTORS,mucous neck cell of gastric gland,tumour-vs-adjacent,25,31,2,-0.020267841956428903,not testable,nan,nan,nan
