"disease","feature","k","est","p","fdr","scenario"
"CRC","JAK_STAT",3,-0.0522880187062402,0.107411328494747,0.140460968031592,"coverage >= 0.60"
"ESCC","JAK_STAT",2,-0.135487811829347,0.74228256929028,0.74228256929028,"coverage >= 0.60"
"HCC","JAK_STAT",2,0.824473347310614,0.358030416897811,0.472001393376343,"coverage >= 0.60"
"IBD","JAK_STAT",3,2.27192485109386,0.00222083208385709,0.0188770727127852,"coverage >= 0.60"
"LUAD","JAK_STAT",3,-1.01587408221567,0.00346311476636996,0.0294364755141446,"coverage >= 0.60"
"NAFLD","JAK_STAT",2,-0.0269141727452973,0.950230249583168,0.950230249583168,"coverage >= 0.60"
"PAAD","JAK_STAT",3,0.681258109437736,0.0862739966164346,0.197197706551851,"coverage >= 0.60"
"STAD","JAK_STAT",3,0.869652032264057,0.0217612423532545,0.1239794902749,"coverage >= 0.60"
"Asthma","PDGFR_KIT_CSF1R",3,0.355941293080135,0.0843488528057166,0.238988416282864,"coverage >= 0.60"
"COPD","PDGFR_KIT_CSF1R",2,0.371803118091228,0.361202874199515,0.593654657869055,"coverage >= 0.60"
"CRC","PDGFR_KIT_CSF1R",3,-1.02847553068845,0.000422164856491166,0.00717680256034982,"coverage >= 0.60"
"ESCC","PDGFR_KIT_CSF1R",2,-0.239326856235967,0.275766069342532,0.520891464313671,"coverage >= 0.60"
"HCC","PDGFR_KIT_CSF1R",2,-0.109899227483877,0.416471817685008,0.472001393376343,"coverage >= 0.60"
"IBD","PDGFR_KIT_CSF1R",3,1.83108913578667,0.00741844734661961,0.0420378682975111,"coverage >= 0.60"
"LUAD","PDGFR_KIT_CSF1R",3,-1.10920048494009,0.067083821620989,0.114048372220049,"coverage >= 0.60"
"NAFLD","PDGFR_KIT_CSF1R",2,0.120762063282959,0.623732408875087,0.919661679056586,"coverage >= 0.60"
"PAAD","PDGFR_KIT_CSF1R",3,0.187578141818385,0.709787000282875,0.757106133635067,"coverage >= 0.60"
"STAD","PDGFR_KIT_CSF1R",3,-0.26329281249023,0.341900097720129,0.452453832998598,"coverage >= 0.60"
"Asthma","PI3K_AKT",3,0.304545478307904,0.0180909545526304,0.208457116511432,"coverage >= 0.60"
"COPD","PI3K_AKT",2,0.0802568755174248,0.155645934847379,0.415475115455989,"coverage >= 0.60"
"CRC","PI3K_AKT",3,-0.040862428947499,0.694476274441742,0.787073111033975,"coverage >= 0.60"
"ESCC","PI3K_AKT",2,0.370094673460518,0.504240718320495,0.571472814096561,"coverage >= 0.60"
"HCC","PI3K_AKT",2,0.999382147842966,0.462287357645229,0.491180317498055,"coverage >= 0.60"
"IBD","PI3K_AKT",3,0.150093044684528,0.599324424140061,0.727751086455789,"coverage >= 0.60"
"LUAD","PI3K_AKT",3,0.646203760277474,0.25913058921079,0.314658572613102,"coverage >= 0.60"
"NAFLD","PI3K_AKT",2,-0.29350259521451,0.169909359954244,0.906183253089301,"coverage >= 0.60"
"PAAD","PI3K_AKT",3,0.367279269463256,0.0693471442830577,0.184925718088154,"coverage >= 0.60"
"STAD","PI3K_AKT",3,0.760996623526124,0.0268910669225003,0.1239794902749,"coverage >= 0.60"
"Asthma","RAS_MAPK",3,0.296147768171427,0.0530441113357885,0.238988416282864,"coverage >= 0.60"
"COPD","RAS_MAPK",2,-0.237101474889345,0.266336808287633,0.499381515539311,"coverage >= 0.60"
"CRC","RAS_MAPK",3,-0.417550952857478,0.233930170045948,0.284058063627222,"coverage >= 0.60"
"ESCC","RAS_MAPK",2,-0.489148841273993,0.458163333606076,0.556341190807378,"coverage >= 0.60"
