"context","feature","n","events","hazard_ratio_per_1sd","ci_low","ci_high","p_value","fdr"
"PAAD","IGF_INSR_AXIS",177,93,1.01814951194274,0.822108278822794,1.26093904583179,0.869073190277735,0.938599045499954
"PAAD","JAK_STAT",177,93,1.08459870306877,0.876914106189928,1.34147043409935,0.453958925888974,0.690529070366326
"PAAD","PDGFR_KIT_CSF1R",177,93,1.09604557878816,0.90607668812961,1.32584352574055,0.344995612854933,0.600960099811819
"PAAD","PI3K_AKT",177,93,1.14066732036864,0.911713667349955,1.42711684858132,0.249577243090072,0.456853258537759
"PAAD","RAS_MAPK",177,93,1.35201793563222,1.05017156299406,1.74062273506976,0.0192974168137372,0.0848005434485004
"PAAD","RET_ALK_NTRK",177,93,0.777990941965695,0.621758338907626,0.973480961822041,0.0281663166343105,0.0981278127905013
"PAAD","SRC_FAK",177,93,1.17634659227785,0.936534136684964,1.47756632776023,0.162634428331452,0.344402318819544
"PAAD","TAM_AXL_AXIS",177,93,1.20336186025457,0.989344744965734,1.4636756035587,0.0639182630816709,0.181662431916328
"PAAD","TGFB_SMAD",177,93,1.38791622784304,1.09218533757775,1.76372213509314,0.00733530835304261,0.0495579254656649
"PAAD","TIE_ANGPT_AXIS",177,93,1.07396133172961,0.882833830661938,1.30646663278143,0.4754573937602,0.7131860906403
"PAAD","VEGF_PDGF_AXIS",177,93,0.982530862025264,0.81292396991671,1.18752420959,0.855361024578453,0.938599045499954
"PAAD","WNT_CTNNB1",177,93,1.3567814826076,1.08366200233731,1.69873631037759,0.00780078456403985,0.0495579254656649
"STAD","EGFR",385,158,1.18742481532357,1.02692992547807,1.37300282820157,0.0204149456450094,0.0848005434485004
"STAD","EPH_RECEPTORS",385,158,0.916611481802881,0.791450723997083,1.06156527892186,0.245078130555293,0.456352381033994
"STAD","ERBB_LIGANDS",385,158,1.0563965608395,0.900625252988509,1.2391099295189,0.500280358649412,0.738445082907325
"STAD","ERBB_RECEPTORS",385,158,1.12655874844861,0.961951755753129,1.31933291468705,0.139235972132461,0.309814141576846
"STAD","FGFR_AXIS",385,158,1.22144767478699,1.05019800803116,1.42062202635437,0.00944648525708069,0.0566789115424842
"STAD","HGF_MET_AXIS",385,158,1.08575007170089,0.928426702800225,1.26973213355773,0.302957938485587,0.53638454682694
"STAD","IGF_INSR_AXIS",385,158,1.16202939894187,1.00000780225087,1.35030178861191,0.0499880972823825,0.15370658718226
"STAD","JAK_STAT",385,158,0.970289550180947,0.825375160220182,1.14064713425492,0.71477524316445,0.908185014844242
"STAD","PDGFR_KIT_CSF1R",385,158,1.26939527547014,1.08797504797032,1.48106739064652,0.00243311635767085,0.0262776566628451
"STAD","PI3K_AKT",385,158,0.981461373660988,0.837315180463688,1.15042274458117,0.817395320694667,0.938599045499954
"STAD","RAS_MAPK",385,158,1.00453660011885,0.860360117038217,1.17287373158595,0.954337363511514,0.981604145326129
"STAD","RET_ALK_NTRK",385,158,1.2635009499381,1.09569095339756,1.45701180204526,0.00129594151843636,0.0155512982212363
"STAD","SRC_FAK",385,158,1.00150576218175,0.857453948745492,1.16975820468343,0.984848997553299,0.984848997553299
"STAD","TAM_AXL_AXIS",385,158,1.2420971835928,1.06763565159829,1.44506734219631,0.00499335282697073,0.038734397000945
"STAD","TGFB_SMAD",385,158,1.206352140956,1.02453253324461,1.42043853246941,0.0244019911368406,0.094121965813528
"STAD","TIE_ANGPT_AXIS",385,158,1.33556423077417,1.1438817357246,1.55936733563935,0.000251626792561629,0.00489610596535357
"STAD","VEGF_PDGF_AXIS",385,158,1.26055405711792,1.07505980826082,1.47805407541656,0.00435611144359232,0.038734397000945
"STAD","WNT_CTNNB1",385,158,0.868617611364794,0.747633463042898,1.00917975461164,0.0656865397988796,0.181901187135359
