"accession","module","n_members","n_present","coverage","missing"
"GSE16879","TIE_ANGPT_AXIS",3,3,1,""
"GSE16879","VEGF_PDGF_AXIS",9,9,1,""
"GSE16879","WNT_CTNNB1",4,4,1,""
"GSE179285","EPH_RECEPTORS",4,4,1,""
"GSE179285","ERBB_LIGANDS",6,6,1,""
"GSE179285","ERBB_RECEPTORS",4,4,1,""
"GSE179285","FGFR_AXIS",8,8,1,""
"GSE179285","HGF_MET_AXIS",3,3,1,""
"GSE179285","IGF_INSR_AXIS",4,4,1,""
"GSE179285","JAK_STAT",9,9,1,""
"GSE179285","PDGFR_KIT_CSF1R",5,5,1,""
"GSE179285","PI3K_AKT",9,9,1,""
"GSE179285","RAS_MAPK",12,12,1,""
"GSE179285","RET_ALK_NTRK",6,6,1,""
"GSE179285","SRC_FAK",5,5,1,""
"GSE179285","TAM_AXL_AXIS",3,3,1,""
"GSE179285","TGFB_SMAD",5,5,1,""
"GSE179285","TIE_ANGPT_AXIS",3,3,1,""
"GSE179285","VEGF_PDGF_AXIS",9,9,1,""
"GSE179285","WNT_CTNNB1",4,4,1,""
"GSE19804","EPH_RECEPTORS",4,4,1,""
"GSE19804","ERBB_LIGANDS",6,6,1,""
"GSE19804","ERBB_RECEPTORS",4,4,1,""
"GSE19804","FGFR_AXIS",8,8,1,""
"GSE19804","HGF_MET_AXIS",3,3,1,""
"GSE19804","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE19804","JAK_STAT",9,9,1,""
"GSE19804","PDGFR_KIT_CSF1R",5,5,1,""
"GSE19804","PI3K_AKT",9,9,1,""
"GSE19804","RAS_MAPK",12,12,1,""
"GSE19804","RET_ALK_NTRK",6,6,1,""
"GSE19804","SRC_FAK",5,5,1,""
"GSE19804","TAM_AXL_AXIS",3,3,1,""
"GSE19804","TGFB_SMAD",5,5,1,""
"GSE19804","TIE_ANGPT_AXIS",3,3,1,""
"GSE19804","VEGF_PDGF_AXIS",9,9,1,""
"GSE19804","WNT_CTNNB1",4,4,1,""
"GSE23878","EPH_RECEPTORS",4,4,1,""
"GSE23878","ERBB_LIGANDS",6,6,1,""
"GSE23878","ERBB_RECEPTORS",4,4,1,""
"GSE23878","FGFR_AXIS",8,8,1,""
"GSE23878","HGF_MET_AXIS",3,3,1,""
"GSE23878","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE23878","JAK_STAT",9,9,1,""
"GSE23878","PDGFR_KIT_CSF1R",5,5,1,""
"GSE23878","PI3K_AKT",9,9,1,""
"GSE23878","RAS_MAPK",12,12,1,""
"GSE23878","RET_ALK_NTRK",6,6,1,""
"GSE23878","SRC_FAK",5,5,1,""
"GSE23878","TAM_AXL_AXIS",3,3,1,""
"GSE23878","TGFB_SMAD",5,5,1,""
"GSE23878","TIE_ANGPT_AXIS",3,3,1,""
"GSE23878","VEGF_PDGF_AXIS",9,9,1,""
"GSE23878","WNT_CTNNB1",4,4,1,""
"GSE32863","EPH_RECEPTORS",4,4,1,""
"GSE32863","ERBB_LIGANDS",6,6,1,""
"GSE32863","ERBB_RECEPTORS",4,4,1,""
"GSE32863","FGFR_AXIS",8,7,0.875,"FGFR2"
"GSE32863","HGF_MET_AXIS",3,3,1,""
"GSE32863","IGF_INSR_AXIS",4,4,1,""
"GSE32863","JAK_STAT",9,9,1,""
"GSE32863","PDGFR_KIT_CSF1R",5,5,1,""
"GSE32863","PI3K_AKT",9,9,1,""
"GSE32863","RAS_MAPK",12,12,1,""
"GSE32863","RET_ALK_NTRK",6,6,1,""
"GSE32863","SRC_FAK",5,5,1,""
"GSE32863","TAM_AXL_AXIS",3,3,1,""
"GSE32863","TGFB_SMAD",5,5,1,""
"GSE32863","TIE_ANGPT_AXIS",3,3,1,""
"GSE32863","VEGF_PDGF_AXIS",9,9,1,""
"GSE32863","WNT_CTNNB1",4,4,1,""
"GSE41258","EPH_RECEPTORS",4,4,1,""
"GSE41258","ERBB_LIGANDS",6,6,1,""
"GSE41258","ERBB_RECEPTORS",4,4,1,""
"GSE41258","FGFR_AXIS",8,7,0.875,"FGF10"
"GSE41258","HGF_MET_AXIS",3,3,1,""
"GSE41258","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE41258","JAK_STAT",9,9,1,""
"GSE41258","PDGFR_KIT_CSF1R",5,5,1,""
"GSE41258","PI3K_AKT",9,8,0.889,"RPTOR"
"GSE41258","RAS_MAPK",12,11,0.917,"BRAF"
"GSE41258","RET_ALK_NTRK",6,6,1,""
"GSE41258","SRC_FAK",5,5,1,""
"GSE41258","TAM_AXL_AXIS",3,3,1,""
"GSE41258","TGFB_SMAD",5,5,1,""
"GSE41258","TIE_ANGPT_AXIS",3,3,1,""
"GSE41258","VEGF_PDGF_AXIS",9,9,1,""
"GSE41258","WNT_CTNNB1",4,3,0.75,"AXIN2"
"GSE4302","EPH_RECEPTORS",4,4,1,""
"GSE4302","ERBB_LIGANDS",6,6,1,""
"GSE4302","ERBB_RECEPTORS",4,4,1,""
"GSE4302","FGFR_AXIS",8,8,1,""
"GSE4302","HGF_MET_AXIS",3,3,1,""
"GSE4302","IGF_INSR_AXIS",4,3,0.75,"IGF2"
"GSE4302","JAK_STAT",9,9,1,""
"GSE4302","PDGFR_KIT_CSF1R",5,5,1,""
"GSE4302","PI3K_AKT",9,9,1,""
"GSE4302","RAS_MAPK",12,12,1,""
"GSE4302","RET_ALK_NTRK",6,6,1,""
"GSE4302","SRC_FAK",5,5,1,""
"GSE4302","TAM_AXL_AXIS",3,3,1,""
"GSE4302","TGFB_SMAD",5,5,1,""
"GSE4302","TIE_ANGPT_AXIS",3,3,1,""
"GSE4302","VEGF_PDGF_AXIS",9,9,1,""
"GSE4302","WNT_CTNNB1",4,4,1,""
"GSE43696","EPH_RECEPTORS",4,4,1,""
"GSE43696","ERBB_LIGANDS",6,6,1,""
"GSE43696","ERBB_RECEPTORS",4,4,1,""
"GSE43696","FGFR_AXIS",8,8,1,""
"GSE43696","HGF_MET_AXIS",3,3,1,""
"GSE43696","IGF_INSR_AXIS",4,4,1,""
"GSE43696","JAK_STAT",9,9,1,""
"GSE43696","PDGFR_KIT_CSF1R",5,5,1,""
"GSE43696","PI3K_AKT",9,9,1,""
"GSE43696","RAS_MAPK",12,12,1,""
"GSE43696","RET_ALK_NTRK",6,6,1,""
"GSE43696","SRC_FAK",5,5,1,""
"GSE43696","TAM_AXL_AXIS",3,3,1,""
"GSE43696","TGFB_SMAD",5,5,1,""
"GSE43696","TIE_ANGPT_AXIS",3,3,1,""
"GSE43696","VEGF_PDGF_AXIS",9,9,1,""
"GSE43696","WNT_CTNNB1",4,4,1,""
"GSE44076","EPH_RECEPTORS",4,4,1,""
"GSE44076","ERBB_LIGANDS",6,6,1,""
"GSE44076","ERBB_RECEPTORS",4,4,1,""
"GSE44076","FGFR_AXIS",8,8,1,""
"GSE44076","HGF_MET_AXIS",3,3,1,""
"GSE44076","IGF_INSR_AXIS",4,4,1,""
"GSE44076","JAK_STAT",9,9,1,""
"GSE44076","PDGFR_KIT_CSF1R",5,5,1,""
"GSE44076","PI3K_AKT",9,9,1,""
"GSE44076","RAS_MAPK",12,12,1,""
"GSE44076","RET_ALK_NTRK",6,6,1,""
"GSE44076","SRC_FAK",5,5,1,""
"GSE44076","TAM_AXL_AXIS",3,3,1,""
"GSE44076","TGFB_SMAD",5,5,1,""
"GSE44076","TIE_ANGPT_AXIS",3,3,1,""
"GSE44076","VEGF_PDGF_AXIS",9,9,1,""
"GSE44076","WNT_CTNNB1",4,4,1,""
"GSE67472","EPH_RECEPTORS",4,4,1,""
"GSE67472","ERBB_LIGANDS",6,5,0.833,"AREG"
"GSE67472","ERBB_RECEPTORS",4,4,1,""
"GSE67472","FGFR_AXIS",8,8,1,""
