accession,disease,feature,paired,patient_ids_available,n_both_arm_patients,n_case,n_control,npair,r_emp,measure,yi,vi,mean_case,sd_case,mean_ctrl,sd_ctrl,beta_base,se_base,p_base,not_estimable_reason
GSE20347,ESCC,SRC_FAK,TRUE,TRUE,17,17,17,17,0.353858092455075,SMCRPH,1.6891249156708,0.133136809153172,0.219071492397035,0.359041638972476,-0.352166277651015,0.296311846071399,0.57123777004805,0.091207227948687,1.13187113354663e-05,
GSE20347,ESCC,TAM_AXL_AXIS,TRUE,TRUE,17,17,17,17,0.0887621079752091,SMCRPH,-0.888270683030922,0.126386734806808,-0.153413053007909,0.415577840865624,0.235863810273655,0.439668934284224,-0.389276863281565,0.140079196223473,0.0134101003103446,
GSE20347,ESCC,TGFB_SMAD,TRUE,TRUE,17,17,17,17,-0.241831002632497,SMCRPH,0.0580983102409716,0.151731669254087,-0.033322820087932,0.480232069511255,-0.0569176150837263,0.287962323914957,0.0235947949957944,0.149593596750348,0.8766461149692,
GSE20347,ESCC,TIE_ANGPT_AXIS,TRUE,TRUE,17,17,17,17,0.0164858301750256,SMCRPH,0.79866446449146,0.133086275254183,0.191360550501412,0.415087047190644,-0.172067514276448,0.471666753908936,0.36342806477786,0.151135214259747,0.0286525340271243,
GSE20347,ESCC,VEGF_PDGF_AXIS,TRUE,TRUE,17,17,17,17,0.0850788022195939,SMCRPH,1.37969667882875,0.1444292691078,0.197193278124999,0.317382482538983,-0.264270492582022,0.335366844305224,0.461463770707022,0.107125835753833,0.000541919148038883,
GSE20347,ESCC,WNT_CTNNB1,TRUE,TRUE,17,17,17,17,0.253475884245828,SMCRPH,0.436845486243006,0.0975094554596431,0.0631361017729212,0.507358512719237,-0.141649284546336,0.400298465345063,0.204785386319257,0.136056267881579,0.151769788671064,
GSE23400,ESCC,EPH_RECEPTORS,TRUE,TRUE,53,53,53,53,0.0256019989678784,SMCRPH,-0.209192745475833,0.0377057447403432,-0.0105272331978902,0.344604035797198,0.0687634653609604,0.405505499363781,-0.0792906985588497,0.072167450021256,0.276958149106063,
GSE23400,ESCC,ERBB_LIGANDS,TRUE,TRUE,53,53,53,53,0.0673308046960065,SMCRPH,-0.511542589069935,0.037135706065561,-0.0681957637907633,0.418042984098947,0.146722689718045,0.416126354450595,-0.214918453508808,0.0782467698425584,0.00825138351425362,
GSE23400,ESCC,ERBB_RECEPTORS,TRUE,TRUE,53,53,53,53,0.282724499188635,SMCRPH,-1.05843979715511,0.0334051313928657,-0.164007390776527,0.357851157690607,0.215828163166078,0.354260430613026,-0.379835553942605,0.0585798145511441,3.28696696829263e-08,
GSE23400,ESCC,FGFR_AXIS,TRUE,TRUE,53,53,53,53,-0.0739492032308468,SMCRPH,-1.00456849815183,0.0461876593567581,-0.141175182991442,0.300601097409447,0.168131601617332,0.310638990681329,-0.309306784608774,0.0615320321600624,6.27130004130262e-06,
