"context","driver","feature","n_plus","n_minus","events_plus","events_minus","HR_plus","p_plus","HR_minus","p_minus","HR_interaction","p_interaction","fdr_interaction"
"ESCC","EGFR_amp","HGF_MET_AXIS",14,80,3,28,NA,NA,1.10495853316741,0.647305808457872,0.839389915638923,0.755274904539716,0.957898382242042
"ESCC","EGFR_amp","IGF_INSR_AXIS",14,80,3,28,NA,NA,0.810153244520701,0.285370222344014,1.78810313480474,0.227940808903968,0.94370508256248
"ESCC","EGFR_amp","JAK_STAT",14,80,3,28,NA,NA,1.00501019918726,0.978920123955414,0.904260755899619,0.887685281499858,0.983432752794374
"ESCC","EGFR_amp","PDGFR_KIT_CSF1R",14,80,3,28,NA,NA,0.972861736289812,0.887880878046329,1.08653385454182,0.882412393931589,0.983432752794374
"ESCC","EGFR_amp","PI3K_AKT",14,80,3,28,NA,NA,0.850828587599166,0.339375503694843,0.777744918420796,0.753706111481864,0.957898382242042
"ESCC","EGFR_amp","RAS_MAPK",14,80,3,28,NA,NA,0.687801977978116,0.0361662970008927,1.93601469022469,0.380072759591201,0.957898382242042
"ESCC","EGFR_amp","RET_ALK_NTRK",14,80,3,28,NA,NA,0.916655807896579,0.608067361418616,1.35496832259103,0.593202335845638,0.957898382242042
"ESCC","EGFR_amp","SRC_FAK",14,80,3,28,NA,NA,0.785292789096623,0.192643265773606,2.01503174204135,0.258208449560726,0.957898382242042
"ESCC","EGFR_amp","TAM_AXL_AXIS",14,80,3,28,NA,NA,0.752719268435988,0.0811201050194834,0.601640256141992,0.450790501347278,0.957898382242042
"ESCC","EGFR_amp","TGFB_SMAD",14,80,3,28,NA,NA,0.772314123967104,0.189333150256631,1.40456573057733,0.612369022582651,0.957898382242042
"ESCC","EGFR_amp","TIE_ANGPT_AXIS",14,80,3,28,NA,NA,0.982550479518918,0.937372109386146,0.873533328844915,0.807334704644344,0.979687057321227
"ESCC","EGFR_amp","VEGF_PDGF_AXIS",14,80,3,28,NA,NA,0.89260578422852,0.616057530131705,1.45118114344925,0.54667920743613,0.957898382242042
"ESCC","EGFR_amp","WNT_CTNNB1",14,80,3,28,NA,NA,0.709120196507921,0.0835757091198887,0.899358714432708,0.871693008099927,0.983432752794374
