"accession","disease","role","feature","n_case","n_control","paired","npair","r_emp","smd_unified","var_unified","d_adj","se_adj","p_adj","df_resid","joint_fallback","rank_full"
"GSE179285","IBD","validation","JAK_STAT",22,31,FALSE,NA,NA,1.35759154506285,0.095099919435072,1.02997536046424,0.344116163414811,0.00439151296384458,47,FALSE,TRUE
"GSE179285","IBD","validation","PDGFR_KIT_CSF1R",22,31,FALSE,NA,NA,0.917278008025534,0.0856503358575357,0.429372635643979,0.344116163414811,0.218301864997035,47,FALSE,TRUE
"GSE179285","IBD","validation","PI3K_AKT",22,31,FALSE,NA,NA,-0.0552311869002492,0.0777413881216784,-0.228447081600487,0.344116163414811,0.510019602491332,47,FALSE,TRUE
"GSE179285","IBD","validation","RAS_MAPK",22,31,FALSE,NA,NA,0.0740114049690514,0.0777642862731791,0.48008755817566,0.344116163414811,0.169533990256991,47,FALSE,TRUE
"GSE179285","IBD","validation","RET_ALK_NTRK",22,31,FALSE,NA,NA,0.176995265024029,0.0780081507616266,0.222183718255231,0.344116163414811,0.521636354617657,47,FALSE,TRUE
"GSE179285","IBD","validation","SRC_FAK",22,31,FALSE,NA,NA,0.462230126604971,0.0797282391210636,0.609703989216226,0.344116163414811,0.0829112148899611,47,FALSE,TRUE
"GSE179285","IBD","validation","TAM_AXL_AXIS",22,31,FALSE,NA,NA,0.373426302834139,0.0790281496277346,0.265838717423056,0.344116163414811,0.44367049269303,47,FALSE,TRUE
"GSE179285","IBD","validation","TGFB_SMAD",22,31,FALSE,NA,NA,0.680775099362342,0.0820848244604085,0.395159683876021,0.344116163414811,0.256642547971755,47,FALSE,TRUE
"GSE179285","IBD","validation","TIE_ANGPT_AXIS",22,31,FALSE,NA,NA,1.08249678539463,0.0887673202573698,0.481511622578899,0.344116163414811,0.168297255785319,47,FALSE,TRUE
"GSE179285","IBD","validation","VEGF_PDGF_AXIS",22,31,FALSE,NA,NA,1.51300031323188,0.0993085528748233,1.23089381313934,0.344116163414811,0.000818476155276745,47,FALSE,TRUE
